COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|KM_NUMBER|IS_GOLD|IS_SILVER

Leopold II|5 Francs|1865|||0|0

Leopold II|5 Francs|1866|||0|0

Leopold II|5 Francs|1867|||0|0

Leopold II|5 Francs|1868|||0|0

Leopold II|5 Francs|1869|||0|0

Leopold II|5 Francs|1870|||0|0

Leopold II|5 Francs|1871|||0|0

Leopold II|5 Francs|1872|||0|0

Leopold II|5 Francs|1873|||0|0

Leopold II|5 Francs|1874|||0|0

Leopold II|5 Francs|1875|||0|0

Leopold II|5 Francs|1876|||0|0

Leopold II|5 Francs|1877|||0|0

Leopold II|5 Francs|1878|||0|0

Albert I|1 Belga|1930|Variety 1 - Legend in French|97.1|0|0

Albert I|1 Belga|1931|Variety 1 - Legend in French|97.1|0|0

Albert I|1 Belga|1932|Variety 1 - Legend in French|97.1|0|0

Albert I|1 Belga|1933|Variety 1 - Legend in French|97.1|0|0

Albert I|1 Belga|1934|Variety 1 - Legend in French|97.1|0|0

Albert I|1 Belga|1930|Variety 2 - Legend in Dutch|98|0|0

Albert I|1 Belga|1931|Variety 2 - Legend in Dutch|98|0|0

Albert I|1 Belga|1932|Variety 2 - Legend in Dutch|98|0|0

Albert I|1 Belga|1933|Variety 2 - Legend in Dutch|98|0|0
