YEAR|MINTAGE|F-12|VF-20|EF-40|MS-60|PF-63|Paren|ADDITIONAL_INFO|KM

1937|9106000|-1|-1|5.00|19.00|20.00|26000|Variety 1|856

1938|6426000|-1|-1|10.00|35.00|1000.00|-1|Variety 1|856

1939|15479000|-1|-1|5.50|19.00|900.00|-1|Variety 1|856

1940|17948000|-1|-1|5.50|19.00|900.00|-1|Variety 1|856

1941|15774000|-1|-1|5.50|19.00|900.00|-1|Variety 1|856

1942|31220000|-1|-1|4.50|10.00|900.00|-1|Variety 1|856

1943|15463000|-1|-1|4.50|19.00|650.00|-1|Variety 1|856

1944|15255000|-1|-1|4.50|10.00|800.00|-1|Variety 1|856

1945|19849000|-1|-1|4.50|10.00|800.00|-1|Variety 1|856

1946|22725000|-1|-1|4.50|10.00|800.00|-1|Variety 1|856

1947|21910000|0.25|0.50|1.00|10.00|750.00|-1|Variety 2 - Cupro-Nickel|866

1948|71165000|0.25|0.50|1.00|10.00|1000.00|-1|Variety 2 - Cupro-Nickel|866

1949|28273000|0.25|0.50|1.25|16.00|900.00|-1|Variety 3 - No IND:IMP on Reverse|879

1950|28336000|0.25|0.50|3.00|22.50|25.00|18000|Variety 3 - No IND:IMP on Reverse|879

1951|9004000|0.50|0.75|1.50|35.00|30.00|20000|Variety 3 - No IND:IMP on Reverse|879

1952|1|-1|50000.00|-1|-1|80000.00|1|Variety 3 - No IND:IMP on Reverse|879
