YEAR|NAME|RATING_CATEGORY|RATING_VALUE|RATING_AGENCY|IS_SILVER|IS_GOLD|IS_PROOF|DENOMINATION|NOTES|PRICE_PAID|IS_WRAPPED|ORIGIN|ORIGIN_DATE|COIN_TYPE|YEAR_TYPE

1909P|Indian Head||||N|Y|0|QUARTER EAGLE||283.95||ebay|2012-07-28||

1851P|Liberty Head|AU|AU-58|NGC|N|Y|0|GOLD DOLLAR||227.67||ebay|2012-07-28||

1853P|Liberty Head|AU|AU-55|NGC|N|Y|0|GOLD DOLLAR||225.45||ebay|2012-07-28||

1881P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.99||ebay|2012-07-28||

1882P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||35.45||ebay|2012-07-28||

1884P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||50.50||ebay|2012-07-28||

1885O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||39.80||ebay|2012-07-28||

1885P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||37.01||ebay|2012-07-28||

1885P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.30||ebay|2012-07-28||

1886P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.00||ebay|2012-07-28||

1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||

1887P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||46.99||ebay|2012-07-28||

1891O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01||

1902P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||31.11||ebay|2012-07-28||

1921D|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01||

1921P|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01||

1922P|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||32.37||ebay|2012-07-28||

1922P|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01||

1922S|Peace||||Y|N|0|SILVER AND RELATED DOLLAR||30.35||ebay|2012-07-28||

1972P|Eisenhower||||N|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01|Eagle Reverse|Copper-Nickel Clad

1976P|Eisenhower||||N|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01|Bicentennial|Copper-Nickel Clad - Variety 2

1976P|Eisenhower||||N|N|0|SILVER AND RELATED DOLLAR||0.00||Grandma Betty|2012-07-01|Bicentennial|Copper-Nickel Clad - Variety 2

1843P|Liberty Seated||||Y|N|0|HALF DOLLAR||79.75||ebay|2012-07-28|Variety 1 - No Motto Above Eagle|

