COIN|DENOMINATION|YEAR|ADDITIONAL_INFO|IS_GOLD|IS_SILVER

Liberty Cap|Half Cent|1793|Variety 1 - Head Facing Left|0|0

Liberty Cap|Half Cent|1794|Variety 2 - Head Facing Right|0|0

Liberty Cap|Half Cent|1795|Variety 2 - Head Facing Right|0|0

Liberty Cap|Half Cent|1796|Variety 2 - Head Facing Right|0|0

Liberty Cap|Half Cent|1797|Variety 2 - Head Facing Right|0|0

Draped Bust|Half Cent|1800||0|0

Draped Bust|Half Cent|1802||0|0

Draped Bust|Half Cent|1803||0|0

Draped Bust|Half Cent|1804||0|0

Draped Bust|Half Cent|1805||0|0

Draped Bust|Half Cent|1806||0|0

Draped Bust|Half Cent|1807||0|0

Draped Bust|Half Cent|1808||0|0

Classic Head|Half Cent|1809||0|0

Classic Head|Half Cent|1810||0|0

Classic Head|Half Cent|1811||0|0

Classic Head|Half Cent|1825||0|0

Classic Head|Half Cent|1826||0|0

Classic Head|Half Cent|1828||0|0

Classic Head|Half Cent|1829||0|0

Classic Head|Half Cent|1831||0|0

Classic Head|Half Cent|1832||0|0

Classic Head|Half Cent|1833||0|0

Classic Head|Half Cent|1834||0|0

Classic Head|Half Cent|1835||0|0

Classic Head|Half Cent|1836||0|0

Braided Hair|Half Cent|1840||0|0

Braided Hair|Half Cent|1841||0|0

Braided Hair|Half Cent|1842||0|0

Braided Hair|Half Cent|1843||0|0

Braided Hair|Half Cent|1844||0|0

Braided Hair|Half Cent|1845||0|0

Braided Hair|Half Cent|1846||0|0

Braided Hair|Half Cent|1847||0|0

Braided Hair|Half Cent|1848||0|0

Braided Hair|Half Cent|1849||0|0

Braided Hair|Half Cent|1850||0|0

Braided Hair|Half Cent|1851||0|0

Braided Hair|Half Cent|1852||0|0

Braided Hair|Half Cent|1853||0|0

Braided Hair|Half Cent|1854||0|0

Braided Hair|Half Cent|1855||0|0

Braided Hair|Half Cent|1856||0|0

Braided Hair|Half Cent|1857||0|0

Flowing Hair|Large Cent|1793|Chain Reverse|0|0

Flowing Hair|Large Cent|1793|Wreath Reverse|0|0

Liberty Cap|Large Cent|1793||0|0

Liberty Cap|Large Cent|1794||0|0

Liberty Cap|Large Cent|1795||0|0

Liberty Cap|Large Cent|1796||0|0

Draped Bust|Large Cent|1796||0|0

Draped Bust|Large Cent|1797||0|0

Draped Bust|Large Cent|1798||0|0

Draped Bust|Large Cent|1799||0|0

Draped Bust|Large Cent|1800||0|0

Draped Bust|Large Cent|1801||0|0

Draped Bust|Large Cent|1802||0|0

Draped Bust|Large Cent|1803||0|0

Draped Bust|Large Cent|1804||0|0

Draped Bust|Large Cent|1805||0|0

Draped Bust|Large Cent|1806||0|0

Draped Bust|Large Cent|1807||0|0

Classic Head|Large Cent|1808||0|0

Classic Head|Large Cent|1809||0|0

Classic Head|Large Cent|1810||0|0

Classic Head|Large Cent|1811||0|0

Classic Head|Large Cent|1812||0|0

Classic Head|Large Cent|1813||0|0

Classic Head|Large Cent|1814||0|0

Liberty Head|Large Cent|1816|Matron Head|0|0

Liberty Head|Large Cent|1817|Matron Head|0|0

Liberty Head|Large Cent|1818|Matron Head|0|0

Liberty Head|Large Cent|1819|Matron Head|0|0

Liberty Head|Large Cent|1820|Matron Head|0|0

Liberty Head|Large Cent|1821|Matron Head|0|0

Liberty Head|Large Cent|1822|Matron Head|0|0

Liberty Head|Large Cent|1823|Matron Head|0|0

Liberty Head|Large Cent|1824|Matron Head|0|0

Liberty Head|Large Cent|1825|Matron Head|0|0

Liberty Head|Large Cent|1826|Matron Head|0|0

Liberty Head|Large Cent|1827|Matron Head|0|0

Liberty Head|Large Cent|1828|Matron Head|0|0

Liberty Head|Large Cent|1829|Matron Head|0|0

Liberty Head|Large Cent|1830|Matron Head|0|0

Liberty Head|Large Cent|1831|Matron Head|0|0

Liberty Head|Large Cent|1832|Matron Head|0|0

Liberty Head|Large Cent|1833|Matron Head|0|0

Liberty Head|Large Cent|1834|Matron Head|0|0

Liberty Head|Large Cent|1835|Matron Head|0|0

Liberty Head|Large Cent|1836|Braided Hair|0|0

Liberty Head|Large Cent|1837|Braided Hair|0|0

Liberty Head|Large Cent|1838|Braided Hair|0|0

Liberty Head|Large Cent|1839|Braided Hair|0|0

Liberty Head|Large Cent|1840|Braided Hair|0|0

Liberty Head|Large Cent|1841|Braided Hair|0|0

Liberty Head|Large Cent|1842|Braided Hair|0|0

Liberty Head|Large Cent|1843|Braided Hair|0|0

Liberty Head|Large Cent|1844|Braided Hair|0|0

Liberty Head|Large Cent|1845|Braided Hair|0|0

Liberty Head|Large Cent|1846|Braided Hair|0|0

Liberty Head|Large Cent|1847|Braided Hair|0|0

Liberty Head|Large Cent|1848|Braided Hair|0|0

Liberty Head|Large Cent|1849|Braided Hair|0|0

Liberty Head|Large Cent|1850|Braided Hair|0|0

Liberty Head|Large Cent|1851|Braided Hair|0|0

Liberty Head|Large Cent|1852|Braided Hair|0|0

Liberty Head|Large Cent|1853|Braided Hair|0|0

Liberty Head|Large Cent|1854|Braided Hair|0|0

Liberty Head|Large Cent|1855|Braided Hair|0|0

Liberty Head|Large Cent|1856|Braided Hair|0|0

Liberty Head|Large Cent|1857|Braided Hair|0|0

Flying Eagle|Small Cent|1856||0|0

Flying Eagle|Small Cent|1857||0|0

