YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|Paren|ADDITIONAL_INFO

1849C|11634|750.00|1100.00|1700.00|2000.00|5500.00|12500.00|-1|

1849D|21588|900.00|1350.00|1850.00|2250.00|3750.00|8750.00|-1|

1849O|215000|155.00|185.00|250.00|375.00|550.00|2500.00|-1|

1849P,:Open:Wreath:-:No:L:on:Truncation|688567|155.00|185.00|215.00|225.00|475.00|1150.00|-1|

1849P,:Close:Wreath|-1|155.00|185.00|215.00|225.00|475.00|950.00|-1|

1850C|6966|800.00|1000.00|1850.00|3000.00|5500.00|22500.00|-1|

1850D|8382|950.00|1350.00|2150.00|3500.00|8500.00|18500.00|-1|

1850O|14000|215.00|300.00|550.00|1000.00|2200.00|4500.00|-1|

1850P|481953|155.00|180.00|200.00|215.00|300.00|800.00|-1|

1851C|41267|800.00|1100.00|1350.00|1750.00|2500.00|4750.00|-1|

1851D|9882|900.00|1250.00|1650.00|2000.00|3850.00|11500.00|-1|

1851O|290000|165.00|185.00|215.00|225.00|575.00|1800.00|-1|

1851P|3317671|155.00|180.00|200.00|210.00|275.00|800.00|-1|

1852C|9434|750.00|1000.00|1350.00|1600.00|3450.00|7500.00|-1|

1852D|6360|800.00|1250.00|1750.00|1850.00|6500.00|23500.00|-1|

1852O|140000|160.00|185.00|200.00|210.00|275.00|800.00|-1|

1852P|2045351|155.00|180.00|200.00|210.00|275.00|800.00|-1|

1853C|11515|750.00|1000.00|1550.00|1850.00|3750.00|9000.00|-1|

1853D|6583|900.00|1200.00|1850.00|3000.00|6500.00|18500.00|-1|

1853O|290000|165.00|185.00|200.00|225.00|450.00|1600.00|-1|

1853P|4076051|155.00|180.00|200.00|210.00|275.00|800.00|-1|

1854D|2935|950.00|2250.00|3850.00|4750.00|8000.00|21500.00|-1|

1854P|855502|155.00|180.00|200.00|210.00|275.00|800.00|-1|

1854S|14632|275.00|500.00|600.00|850.00|1850.00|3850.00|-1|
