YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|Paren|ADDITIONAL_INFO

1829P|1230000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1830P|1240000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1831P|1242700|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1832P|965000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1833P|1370000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1834P|1480000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1835P|2760000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1836P|1900000|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1837P,:Large:5c|-1|20.00|25.00|30.00|45.00|75.00|110.00|185.00|400.00|-1|

1837P,:Small:5c|871000|24.00|30.00|40.00|75.00|115.00|200.00|475.00|1000.00|-1|
