YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1883P,:Without:CENTS|5474300|2.35|3.00|3.25|4.00|5.00|6.25|18.00|26.00|165.00|5219|

1883P,:CENTS|16026200|7.00|9.00|13.00|21.00|35.00|45.00|75.00|100.00|140.00|6783|

1884P|11270000|8.00|12.00|14.00|21.00|35.00|50.00|100.00|130.00|130.00|3942|

1885P|1472700|230.00|275.00|325.00|450.00|600.00|800.00|1000.00|1300.00|700.00|3790|

1886P|3326000|100.00|125.00|200.00|250.00|310.00|395.00|475.00|1000.00|375.00|4290|

1887P|15260692|4.00|7.00|11.00|20.00|40.00|45.00|75.00|110.00|125.00|2960|

1888P|10167901|10.00|15.00|25.00|50.00|65.00|90.00|135.00|190.00|125.00|4582|

1889P|15878025|4.00|5.00|11.00|20.00|35.00|50.00|75.00|125.00|125.00|3336|

1890P|16256532|2.50|4.00|10.00|15.00|25.00|30.00|75.00|125.00|125.00|2740|

1891P|16832000|2.50|4.00|10.00|15.00|25.00|30.00|75.00|125.00|125.00|2350|

1892P|11696897|2.50|4.00|10.00|15.00|25.00|30.00|75.00|125.00|125.00|2745|

1893P|13368000|2.40|4.00|10.00|15.00|30.00|35.00|80.00|135.00|125.00|2195|

1894P|5410500|6.00|10.00|40.00|75.00|115.00|150.00|180.00|210.00|125.00|2632|

1895P|9977822|1.50|2.50|7.00|10.00|25.00|30.00|75.00|130.00|125.00|2062|

1896P|8841058|2.00|5.00|15.00|20.00|35.00|50.00|90.00|140.00|125.00|1862|

1897P|20426797|2.00|5.00|9.00|12.00|22.00|24.00|50.00|125.00|125.00|1938|

1898P|12530292|2.00|5.00|9.00|12.00|22.00|24.00|50.00|125.00|125.00|1795|

1899P|26027000|0.75|1.00|3.00|6.00|14.00|22.00|50.00|100.00|125.00|2031|

1900P|27253733|0.75|1.00|3.00|6.00|14.00|21.00|40.00|80.00|120.00|2262|

1901P|26478228|0.75|1.00|3.00|6.00|14.00|21.00|40.00|80.00|120.00|1985|

1902P|31487561|0.75|1.00|3.00|6.00|14.00|21.00|40.00|80.00|120.00|2018|

1903P|28004935|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|1790|

1904P|21403167|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|1817|

1905P|29825124|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|2152|

1906P|38612000|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|1725|

1907P|39213325|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|1475|

1908P|22684557|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|1620|

1909P|11585763|0.75|1.00|2.00|4.00|12.00|21.00|45.00|95.00|120.00|4763|

1910P|30166948|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|2405|

1911P|39557639|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|1733|

1912D|8474000|1.00|1.50|4.00|13.00|35.00|85.00|135.00|160.00|-1|

1912P|26234569|0.75|1.00|2.00|4.00|12.00|21.00|40.00|80.00|120.00|2145|

1912S|238000|65.00|100.00|125.00|225.00|425.00|650.00|800.00|975.00|-1|

1913P|5|2000000.00|-1|
