YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|Paren|ADDITIONAL_INFO

1821P|6448|4000.00|5500.00|7500.00|10000.00|14000.00|23500.00|-1|

1824P,:4:Over:1|2600|4000.00|5500.00|7500.00|9500.00|13000.00|22500.00|-1|

1825P|4434|4500.00|6000.00|7500.00|9500.00|13000.00|20000.00|-1|

1826P,:6:Over:6|760|4500.00|6000.00|8000.00|10000.00|14000.00|28500.00|-1|

1827P|2800|4000.00|6000.00|8500.00|10000.00|15000.00|22000.00|-1|

1829P|3403|3500.00|4500.00|5500.00|8500.00|10000.00|14000.00|-1|

1830P|4540|3500.00|4500.00|5500.00|8500.00|10000.00|14000.00|-1|

1831P|4520|3500.00|4500.00|5500.00|8500.00|10000.00|14000.00|-1|

1832P|4400|3500.00|4500.00|5500.00|8500.00|10000.00|14000.00|-1|

1833P|4160|3500.00|4500.00|5500.00|8500.00|10000.00|14000.00|-1|

1834P,:With:Motto|4000|5500.00|7500.00|10000.00|16500.00|21500.00|35000.00|-1|
