YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|Paren|ADDITIONAL_INFO

1796P,:No:Stars:on:Obverse|963|35000.00|50000.00|65000.00|85000.00|100000.00|160000.00|-1|

1796P,:Stars:on:Obverse|432|26500.00|35000.00|50000.00|75000.00|95000.00|135000.00|-1|

1797P|427|10000.00|15000.00|25000.00|35000.00|45000.00|100000.00|-1|

1798P|1094|3000.00|5000.00|9000.00|16500.00|21000.00|50000.00|-1|

1802P,:2:Over:1|3035|3000.00|5000.00|9000.00|14500.00|16500.00|25000.00|-1|

1804P,:13-Star:Reverse|-1|25000.00|40000.00|85000.00|150000.00|175000.00|275000.00|-1|

1804P,:14-Star:Reverse|3327|3000.00|5000.00|8500.00|12500.00|15000.00|24000.00|-1|

1805P|1781|3000.00|5000.00|8500.00|12500.00|15000.00|24000.00|-1|

1806P,:6/4:-:8:Stars:Left:-:5:Right|1136|3500.00|5500.00|8500.00|12500.00|15000.00|24000.00|-1|

1806P,:6/5:-:7:Stars:Left:-:6:Right|480|4500.00|6500.00|10000.00|15000.00|25000.00|50000.00|-1|

1807P|6812|3000.00|5000.00|8500.00|12500.00|15000.00|24000.00|-1|
