YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|Paren|ADDITIONAL_INFO

1834P,:No:Motto|112234|225.00|375.00|600.00|925.00|1100.00|2750.00|7500.00|-1|

1835P|131402|250.00|375.00|600.00|925.00|1100.00|2750.00|7750.00|-1|

1836P|547986|225.00|375.00|600.00|925.00|1100.00|2750.00|7500.00|-1|

1837P|45080|275.00|500.00|750.00|950.00|1150.00|3000.00|10500.00|-1|

1838C|7880|900.00|1350.00|2500.00|5750.00|8000.00|19500.00|32500.00|-1|

1838P|47030|250.00|450.00|650.00|1000.00|1100.00|2750.00|7500.00|-1|

1839C|18140|950.00|1500.00|3500.00|4250.00|6500.00|17500.00|32500.00|-1|

1839D|13674|1100.00|1600.00|3750.00|5500.00|8000.00|22000.00|38500.00|-1|

1839O|17781|375.00|675.00|1100.00|1850.00|2200.00|5000.00|20000.00|-1|

1839P|27021|375.00|575.00|800.00|1150.00|1400.00|3500.00|13500.00|-1|
