YEAR|MINTAGE|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|Paren|ADDITIONAL_INFO

1878CC|2212000|55.00|70.00|75.00|125.00|210.00|1000.00|-1|

1878P,:8:Feathers|749500|25.00|26.00|30.00|75.00|100.00|775.00|500|

1878P,:7:Feathers|9759300|25.00|25.00|28.00|38.00|60.00|735.00|250|

1878P,:7/8:Clear:Double:Feathers|-1|25.00|27.00|32.00|80.00|150.00|1450.00|-1|

1878S|9774000|25.00|25.00|26.00|32.00|45.00|170.00|-1|

1879CC,:CC:over:CC|756000|110.00|285.00|675.00|2100.00|3500.00|14500.00|-1|

1879O|2887000|25.00|26.00|28.00|42.00|130.00|1950.00|-1|

1879P|14806000|25.00|25.00|26.00|28.00|35.00|520.00|1100|

1879S|9110000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1880CC|591000|120.00|140.00|175.00|310.00|360.00|775.00|-1|

1880O|5305000|25.00|25.00|26.00|35.00|210.00|135000.00|-1|

1880P|12600000|25.00|25.00|26.00|28.00|35.00|410.00|1355|

1880S|8900000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1881CC|296000|160.00|190.00|220.00|260.00|290.00|500.00|-1|

1881O|5708000|25.00|25.00|26.00|28.00|32.00|775.00|-1|

1881P|9163000|25.00|25.00|26.00|28.00|33.00|435.00|984|

1881S|12760000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1882CC|1133000|60.00|70.00|75.00|120.00|140.00|285.00|-1|

1882O|6090000|25.00|25.00|26.00|28.00|38.00|520.00|-1|

1882P|11100000|25.00|25.00|26.00|28.00|35.00|210.00|1100|

1882S|9250000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1883CC|1204000|65.00|75.00|85.00|110.00|140.00|275.00|-1|

1883O|8725000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1883P|12290000|25.00|25.00|26.00|28.00|32.00|100.00|1039|

1883S|6250000|25.00|29.00|75.00|340.00|1450.00|22000.00|-1|

1884CC|1136000|75.00|85.00|95.00|120.00|150.00|265.00|-1|

1884O|9730000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1884P|14070000|25.00|25.00|26.00|28.00|32.00|150.00|875|

1884S|3200000|25.00|26.00|185.00|2850.00|165000.00|120000.00|-1|

1885CC|228000|275.00|290.00|320.00|375.00|390.00|785.00|-1|

1885O|9185000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1885P|17787000|25.00|25.00|26.00|28.00|32.00|100.00|930|

1885S|1497000|25.00|26.00|60.00|110.00|150.00|925.00|-1|

1886O|10710000|25.00|26.00|60.00|375.00|1950.00|110000.00|-1|

1886P|19963000|25.00|25.00|26.00|28.00|32.00|100.00|886|

1886S|750000|35.00|55.00|110.00|200.00|375.00|1750.00|-1|

1887O|11550000|25.00|25.00|26.00|28.00|70.00|1300.00|-1|

1887P|20290000|25.00|25.00|26.00|28.00|32.00|100.00|710|

1887S|1771000|25.00|25.00|26.00|65.00|135.00|1650.00|-1|

1888O|12150000|25.00|25.00|26.00|28.00|32.00|245.00|-1|

1888P|19183000|25.00|25.00|26.00|28.00|32.00|120.00|833|

1888S|657000|90.00|110.00|120.00|165.00|245.00|1750.00|-1|

1889CC|350000|790.00|1900.00|3850.00|12500.00|22500.00|185000.00|-1|

1889O|11875000|25.00|25.00|28.00|80.00|220.00|3200.00|-1|

1889P|21726000|25.00|25.00|26.00|28.00|32.00|100.00|811|

1889S|700000|30.00|40.00|50.00|130.00|335.00|950.00|-1|

1890CC|2309041|65.00|85.00|100.00|185.00|465.00|3200.00|-1|

1890O|10701000|25.00|25.00|26.00|35.00|58.00|900.00|-1|

1890P|16802000|25.00|25.00|26.00|28.00|35.00|1000.00|590|

1890S|8230373|25.00|25.00|26.00|33.00|58.00|500.00|-1|

1891CC|1618000|65.00|80.00|110.00|210.00|460.00|2500.00|-1|

1891O|7954529|25.00|26.00|27.00|80.00|185.00|3500.00|-1|

1891P|8693556|25.00|25.00|26.00|32.00|95.00|3500.00|650|

1891S|5296000|25.00|25.00|26.00|28.00|75.00|650.00|-1|

1892CC|1352000|150.00|250.00|350.00|775.00|1250.00|4850.00|-1|

1892O|2744000|25.00|25.00|38.00|90.00|180.00|2750.00|-1|

1892P|1036000|25.00|26.00|42.00|90.00|225.00|1950.00|1245|

1892S|1200000|60.00|155.00|1050.00|18500.00|33500.00|110000.00|-1|

1893CC|677000|250.00|825.00|1000.00|1850.00|3650.00|28500.00|-1|

1893O|300000|175.00|300.00|475.00|1150.00|3800.00|115000.00|-1|

1893P|378000|110.00|135.00|185.00|340.00|710.00|3500.00|792|

1893S|100000|3600.00|4850.00|12500.00|42500.00|85000.00|310000.00|-1|

1894O|1723000|30.00|55.00|135.00|350.00|3150.00|25500.00|-1|

1894P|110000|825.00|1050.00|1325.00|2550.00|3600.00|18500.00|972|

1894S|1260000|45.00|70.00|200.00|385.00|610.00|3200.00|-1|

1895O|450000|230.00|360.00|810.00|8750.00|30000.00|110000.00|-1|

1895P|-1|16000.00|18500.00|24500.00|32500.00|42500.00|880|

1895S|400000|350.00|575.00|900.00|2150.00|3200.00|11500.00|-1|

1896O|4900000|25.00|28.00|95.00|575.00|4200.00|92500.00|-1|

1896P|9976000|25.00|25.00|26.00|28.00|32.00|100.00|762|

1896S|5000000|32.00|110.00|385.00|800.00|1550.00|8800.00|-1|

1897O|4004000|25.00|26.00|65.00|375.00|2800.00|31500.00|-1|

1897P|2822000|25.00|25.00|26.00|28.00|32.00|135.00|731|

1897S|5825000|25.00|25.00|26.00|32.00|60.00|320.00|-1|

1898O|4440000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1898P|5884000|25.00|25.00|26.00|28.00|32.00|130.00|735|

1898S|4102000|28.00|30.00|50.00|140.00|280.00|1100.00|-1|

1899O|12290000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1899P|330000|100.00|130.00|160.00|180.00|200.00|520.00|846|

1899S|2562000|26.00|30.00|65.00|185.00|265.00|950.00|-1|

1900O|12590000|25.00|25.00|26.00|28.00|32.00|110.00|-1|

1900P|8830000|25.00|25.00|26.00|28.00|32.00|100.00|912|

1900S|3540000|28.00|30.00|50.00|160.00|230.00|775.00|-1|

1901O|13320000|25.00|25.00|26.00|28.00|32.00|110.00|-1|

1901P|6962000|30.00|60.00|255.00|1150.00|8750.00|185000.00|813|

1901S|2284000|28.00|30.00|80.00|260.00|380.00|1950.00|-1|

1902O|8636000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1902P|7994000|25.00|25.00|26.00|30.00|60.00|240.00|777|

1902S|1530000|75.00|110.00|140.00|210.00|335.00|1500.00|-1|

1903O|4450000|210.00|220.00|230.00|250.00|265.00|435.00|-1|

1903P|4652000|28.00|33.00|38.00|46.00|52.00|140.00|755|

1903S|1241000|100.00|190.00|925.00|2100.00|3300.00|5500.00|-1|

1904O|3720000|25.00|25.00|26.00|28.00|32.00|100.00|-1|

1904P|2788000|25.00|25.00|28.00|46.00|160.00|1950.00|650|

