YEAR|MINTAGE|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO

1921P|1006473|55.00|65.00|80.00|140.00|250.00|1325.00|32000.00|-1|

1922D|15063000|25.00|25.00|26.00|28.00|35.00|225.00|-1|

1922P|51737000|25.00|25.00|26.00|28.00|30.00|85.00|32000.00|-1|

1922S|17475000|25.00|25.00|26.00|28.00|40.00|1275.00|-1|

1923D|6811000|25.00|25.00|26.00|29.00|70.00|600.00|-1|

1923P|30800000|25.00|25.00|26.00|28.00|30.00|90.00|-1|

1923S|19020000|25.00|25.00|26.00|29.00|42.00|3500.00|-1|

1924P|11911000|25.00|25.00|26.00|28.00|30.00|90.00|-1|

1924S|1728000|25.00|25.00|32.00|110.00|250.00|5000.00|-1|

1925P|10198000|25.00|25.00|26.00|28.00|30.00|90.00|-1|

1925S|1610000|25.00|25.00|27.00|35.00|100.00|12500.00|-1|

1926D|2348700|25.00|25.00|26.00|32.00|90.00|350.00|-1|

1926P|1939000|25.00|25.00|26.00|30.00|42.00|200.00|-1|

1926S|6980000|25.00|25.00|26.00|28.00|55.00|450.00|-1|

1927D|1268900|25.00|25.00|48.00|85.00|210.00|2850.00|-1|

1927P|848000|25.00|25.00|26.00|38.00|90.00|1450.00|-1|

1927S|866000|25.00|25.00|45.00|85.00|225.00|5850.00|-1|

1928P|360649|225.00|250.00|280.00|335.00|425.00|2400.00|-1|

1928S|1632000|25.00|26.00|28.00|90.00|330.00|12500.00|-1|

1934D|1569500|25.00|26.00|27.00|75.00|190.00|950.00|-1|

1934P|954057|25.00|26.00|26.00|65.00|110.00|465.00|-1|

1934S|1011000|38.00|90.00|260.00|950.00|2100.00|4850.00|-1|

1935P|1576000|25.00|26.00|26.00|47.00|68.00|350.00|-1|

1935S|1964000|25.00|28.00|55.00|135.00|240.00|725.00|-1|
