YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1859P|36400000|7.00|8.00|10.00|27.00|55.00|100.00|135.00|265.00|850.00|800|Variety 1 - Copper-Nickel, Laurel Wreath Reverse

1860P|20566000|6.00|7.00|8.00|12.00|32.00|65.00|90.00|125.00|550.00|1000|Variety 2 - Copper-Nickel, Oak Wreath with Shield

1861P|10100000|11.00|13.00|18.00|32.00|65.00|85.00|125.00|150.00|650.00|1000|Variety 2 - Copper-Nickel, Oak Wreath with Shield

1862P|28075000|5.50|6.00|7.00|9.00|22.00|40.00|65.00|100.00|475.00|550|Variety 2 - Copper-Nickel, Oak Wreath with Shield

1863P|49840000|5.50|6.00|7.00|9.00|22.00|40.00|65.00|100.00|475.00|460|Variety 2 - Copper-Nickel, Oak Wreath with Shield

1864P|13740000|8.00|10.00|14.00|25.00|38.00|65.00|100.00|140.00|500.00|370|Variety 2 - Copper-Nickel, Oak Wreath with Shield

1864P,:All:Kinds|39233714|-1|Variety 3 - Bronze

1864P,:No:L|-1|4.00|6.00|9.00|22.00|32.00|42.00|55.00|85.00|250.00|150|Variety 3 - Bronze

1864P,:With:L|-1|27.00|45.00|70.00|100.00|170.00|190.00|225.00|375.00|20|Variety 3 - Bronze

1865P|35429286|4.00|5.00|9.00|12.00|20.00|35.00|50.00|85.00|200.00|500|Variety 3 - Bronze

1866P|9826500|22.00|25.00|35.00|65.00|100.00|150.00|175.00|275.00|220.00|725|Variety 3 - Bronze

1867P|9821000|22.00|25.00|35.00|65.00|100.00|150.00|175.00|275.00|220.00|625|Variety 3 - Bronze

1868P|10266500|22.00|25.00|35.00|65.00|100.00|150.00|175.00|275.00|200.00|600|Variety 3 - Bronze

1869P|6420000|35.00|40.00|90.00|150.00|225.00|275.00|300.00|450.00|210.00|600|Variety 3 - Bronze

1870P|5275000|28.00|35.00|85.00|135.00|200.00|275.00|300.00|350.00|175.00|1000|Variety 3 - Bronze

1871P|3929500|35.00|45.00|125.00|185.00|225.00|300.00|365.00|500.00|175.00|960|Variety 3 - Bronze

1872P|4042000|40.00|60.00|160.00|225.00|300.00|400.00|450.00|650.00|220.00|950|Variety 3 - Bronze

1873P|11676500|11.00|14.00|24.00|38.00|80.00|100.00|120.00|220.00|160.00|1100|Variety 3 - Bronze

1874P|14187500|9.00|11.00|18.00|30.00|55.00|85.00|110.00|165.00|150.00|700|Variety 3 - Bronze

1875P|13528000|10.00|14.00|20.00|35.00|50.00|75.00|110.00|165.00|150.00|700|Variety 3 - Bronze

1876P|7944000|15.00|18.00|20.00|60.00|100.00|145.00|185.00|275.00|150.00|1150|Variety 3 - Bronze

1877P|852500|500.00|725.00|875.00|1250.00|1600.00|1900.00|2200.00|2800.00|1500.00|900|Variety 3 - Bronze

1878P|5797500|14.00|18.00|25.00|65.00|100.00|145.00|165.00|210.00|150.00|2350|Variety 3 - Bronze

1879P|16228000|4.00|6.00|8.00|18.00|40.00|45.00|50.00|80.00|125.00|3200|Variety 3 - Bronze

1880P|38961000|1.75|2.00|3.00|6.00|15.00|25.00|40.00|70.00|100.00|3955|Variety 3 - Bronze

1881P|39208000|1.75|2.00|3.00|5.00|10.00|16.00|26.00|37.00|100.00|3575|Variety 3 - Bronze

1882P|38578000|1.75|2.00|3.00|5.00|10.00|16.00|26.00|37.00|100.00|3100|Variety 3 - Bronze

1883P|45591500|1.75|2.00|3.00|5.00|10.00|16.00|26.00|37.00|100.00|6609|Variety 3 - Bronze

1884P|23257800|2.25|2.50|3.50|6.00|14.00|20.00|30.00|60.00|100.00|3942|Variety 3 - Bronze

1885P|11761594|3.00|4.00|6.00|14.00|35.00|45.00|60.00|95.00|100.00|3790|Variety 3 - Bronze

1886P|17650000|1.75|3.00|8.00|24.00|65.00|85.00|100.00|125.00|100.00|4290|Variety 3 - Bronze

1887P|45223523|1.25|1.50|1.75|2.25|8.00|14.00|25.00|35.00|100.00|2960|Variety 3 - Bronze

1888P|37489832|0.85|1.10|1.80|2.75|8.00|14.00|25.00|40.00|100.00|4582|Variety 3 - Bronze

1889P|48866025|0.85|1.10|1.80|2.75|6.00|12.00|22.00|35.00|100.00|3336|Variety 3 - Bronze

1890P|57180114|0.85|1.10|1.80|2.75|6.00|12.00|22.00|35.00|100.00|2740|Variety 3 - Bronze

1891P|47070000|0.85|1.10|1.80|2.75|6.00|12.00|22.00|35.00|100.00|2350|Variety 3 - Bronze

1892P|37647087|0.85|1.10|1.80|2.75|6.00|12.00|22.00|35.00|100.00|2745|Variety 3 - Bronze

1893P|46640000|0.85|1.10|1.80|2.75|6.00|12.00|22.00|35.00|100.00|2195|Variety 3 - Bronze

1894P|16749500|2.00|3.00|4.75|8.50|25.00|30.00|40.00|50.00|100.00|2632|Variety 3 - Bronze

1895P|38341574|0.85|1.10|1.30|2.00|6.00|11.00|22.00|28.00|100.00|2062|Variety 3 - Bronze

1896P|39055431|0.85|1.10|1.30|2.00|6.00|11.00|22.00|28.00|100.00|1862|Variety 3 - Bronze

1897P|50464392|0.85|1.10|1.30|2.00|6.00|11.00|22.00|28.00|100.00|1938|Variety 3 - Bronze

1898P|49821284|0.85|1.10|1.30|2.00|6.00|11.00|22.00|28.00|100.00|1795|Variety 3 - Bronze

1899P|53598000|0.85|1.10|1.30|2.00|6.00|11.00|22.00|28.00|100.00|2031|Variety 3 - Bronze

1900P|66831502|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|2262|Variety 3 - Bronze

1901P|79609158|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|1985|Variety 3 - Bronze

1902P|87374704|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|2018|Variety 3 - Bronze

1903P|85092703|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|1790|Variety 3 - Bronze

1904P|61326198|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|1817|Variety 3 - Bronze

1905P|80717011|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|2152|Variety 3 - Bronze

1906P|96020530|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|1725|Variety 3 - Bronze

1907P|108137143|0.80|1.00|1.10|1.50|5.00|10.00|18.00|25.00|90.00|1475|Variety 3 - Bronze

1908P|32326367|0.80|1.10|1.25|1.50|5.00|10.00|18.00|25.00|90.00|1620|Variety 3 - Bronze

1908S|1115000|40.00|50.00|55.00|65.00|95.00|120.00|175.00|210.00|-1|Variety 3 - Bronze

1909P|14368470|5.00|6.00|8.00|10.00|12.00|16.00|25.00|32.00|90.00|2175|Variety 3 - Bronze

1909S|309000|275.00|300.00|325.00|350.00|425.00|475.00|550.00|675.00|-1|Variety 3 - Bronze
