YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1864P,:Large:Motto|19822500|8.00|9.00|12.00|16.00|23.00|32.00|55.00|90.00|300.00|100|

1864P,:Small:Motto|-1|85.00|100.00|140.00|225.00|325.00|400.00|575.00|800.00|10000.00|-1|

1865P|13640000|8.00|9.00|12.00|16.00|23.00|32.00|55.00|90.00|250.00|500|

1866P|3177000|8.00|9.00|12.00|16.00|23.00|32.00|55.00|90.00|250.00|725|

1867P|2938750|8.00|9.00|12.00|16.00|23.00|32.00|55.00|90.00|250.00|625|

1868P|2803750|8.00|9.00|14.00|18.00|25.00|37.00|65.00|110.00|250.00|600|

1869P|1546500|9.00|10.00|14.00|19.00|32.00|60.00|100.00|110.00|250.00|600|

1870P|861250|11.00|13.00|19.00|25.00|45.00|80.00|125.00|150.00|250.00|1000|

1871P|721250|13.00|15.00|22.00|30.00|65.00|90.00|165.00|190.00|300.00|960|

1872P|65000|150.00|200.00|225.00|275.00|400.00|500.00|650.00|950.00|600.00|950|

1873P|-1|700.00|1000.00|1000|
