YEAR|MINTAGE|F-12|VF-20|EF-40|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO|KM

1937|9106000|-1|-1|5|19|-1|20|26000|Variety 1|856
1938|6426000|-1|-1|10|35|-1|1000||Variety 1|856
1939|15479000|-1|-1|5.5|19|-1|900||Variety 1|856
1940|17948000|-1|-1|5.5|19|-1|900||Variety 1|856
1941|15774000|-1|-1|5.5|19|-1|900||Variety 1|856
1942|31220000|-1|-1|4.5|10|-1|900||Variety 1|856
1943|15463000|-1|-1|4.5|19|-1|650||Variety 1|856
1944|15255000|-1|-1|4.5|10|-1|800||Variety 1|856
1945|19849000|-1|-1|4.5|10|-1|800||Variety 1|856
1946|22725000|-1|-1|4.5|10|-1|800||Variety 1|856

1947|21910000|.25|.5|1|10|-1|750||Variety 2 - Cupro-Nickel|866
1948|71165000|.25|.5|1|10|-1|1000||Variety 2 - Cupro-Nickel|866

1949|28273000|.25|.5|1.25|16|-1|900||Variety 3 - No IND:IMP on Reverse|879
1950|28336000|.25|.5|3|22.5|-1|25|18000|Variety 3 - No IND:IMP on Reverse|879
1951|9004000|.5|.75|1.5|35|-1|30|20000|Variety 3 - No IND:IMP on Reverse|879
1952|1|-1|50000|-1|-1|-1|80000|1|Variety 3 - No IND:IMP on Reverse|879
