YEAR|NAME|RATING_CATEGORY|RATING_VALUE|RATING_AGENCY|IS_SILVER|IS_GOLD|IS_PROOF|DENOMINATION|NOTES|PRICE_PAID|IS_WRAPPED|ORIGIN|ORIGIN_DATE|COIN_TYPE|YEAR_TYPE

1843|Liberty Seated||||Y|N|0|HALF DOLLAR||79.75||ebay|2012-07-28|Variety 1 - No Motto Above Eagle|
1851|Liberty Head|AU|58|NGC|N|Y|0|GOLD DOLLAR||227.67||ebay|2012-07-28||
1852|Silver - Trime||||Y|N|0|THREE-CENT PIECE||42.23||ebay|2012-12-07||
1853|Liberty Head|AU|55|NGC|N|Y|0|GOLD DOLLAR||225.45||ebay|2012-07-28||
1857|Liberty Seated||||Y|N|0|HALF DIME|Variety 2 Resumed, with Weight Standard of 1853|23.75||ebay|2012-07-28|Variety 2 Resumed, with Weight Standard of 1853|
1861|Silver - Trime||||Y|N|0|THREE-CENT PIECE||85.20|Y|ebay|2012-12-07||
1875|Liberty Seated||||Y|N|0|QUARTER||18.35||ebay|2012-07-28|Variety 4 Resumed, With Weight Standard of Variety 5|
1875S|Liberty Seated||||Y|N|0|QUARTER||18.35||ebay|2012-07-28|Variety 4 Resumed, With Weight Standard of Variety 5|
1881|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.99||ebay|2012-07-28||
1882|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||35.45||ebay|2012-07-28||
1884|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||50.50||ebay|2012-07-28||
1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||37.01|Y|ebay|2012-07-28||
1885|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.30||ebay|2012-07-28||
1885O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||39.80||ebay|2012-07-28||
1886|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||43.00||ebay|2012-07-28||
1887|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||46.99||ebay|2012-07-28||
1887O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||41.45||ebay|2012-07-28||
1891O|Morgan||||Y|N|0|SILVER AND RELATED DOLLAR||0||Grandma Betty|2012-07-01||
1898|Barber or Liberty Head||||Y|N|0|QUARTER||0|Y|Raymond and Jane Howell|2012-11-22||
