NAME|TYPE|START_YEAR|END_YEAR|DESCRIPTION

Liberty Head|Double Eagle|1849|1907|In the Old West (or anywhere else in the country for that matter), if you wanted to flaunt your wealth, you set down a stack of these on the counter or gaming table. In 19th century and early 20th century America, the Liberty Head double-eagle made people sit up and listen. This big gold coin had a long shelf life — 1849 through 1907. That covers the period from covered wagons and steamboats to the first automobiles and airplanes! True, the Liberty Head double-eagle doesn’t have the staggering beauty of our nation's only other circulating $20 gold coin, the Saint-Gaudens double-eagle, but it has a classic eye-appeal all its own.^^^^Like the $1 and $3 gold coin, the $20 gold piece was born out of the California Gold Rush of 1849. So much gold was coming out of the foothills of the Sierra Nevada, that the gold lobbyists gained tremendous power and influence – and they were able to push through legislation that allowed these new gold coin denominations. The new $20 gold coin was designed by James B!! Longacre (who not only designed the Liberty Head $1 gold coin, $3 Indian Princess Head gold coin, but the the Indian Head one-cent coin as well). The obverse design mirrored that of the Liberty Head $1 gold coin: a right-facing Liberty bust, her head of thick, tight curls adorned with a \"Liberty\" head band. The bust is surrounded by stars, with the date below the bust. The reverse design, however, was unique to the Liberty Head double-eagle: a majestically-posed eagle with U!!S!! shield on its chest, and flanked by two ornate banners reading \"E Pluribus Unum.\" Above the eagle is an elipse of stars and rays emanating out from the eagle wings.

Saint-Gaudens|Double Eagle|1907|1933|The $20 gold piece designed by Augustus Saint-Gaudens is considered by many to be the most beautiful United States coin. The first coins issued were slightly more than 12,000 high-relief pieces struck for general circulation. The relief is much higher than that of later issues and the date 1907 is in Roman numerals. A few of the Proof coins were made using the lettered-edge collar from the Ultra High Relief version. These can be distinguished by a pronounced bottom left serif on the N in UNUM, and other minor differences. Flat-relief double eagles were issued later in 1907 with Arabic numerals, and continued through 1933.^^^^The field of the rare, Ultra High Relief experimental pieces is extremely concave and connects directly with the edge without any border, giving it a sharp knifelike appearance. Liberty's skirt shows two folds on the side of her right leg; the Capitol building in the background at left is very small; the sun, on the reverse side, has 14 rays, as opposed to the regular high-relief coins, which have only 13 rays extending from the sun. High-relief Proofs are trial or experimental pieces.


Capped Bust To Right|Eagle|1795|1804|The Capped Bust Eagle was struck from 1795 until 1804, across two different subtypes and several varieties. At the time of issue, the eagle valued at $10, represented the the largest denomination within America’s coinage system. High quality examples are elusive, particularly for the first subtype. Many surviving specimens will display mounting remnants, repairs, or cleaning, making original and unimpaired coins highly desirable. Completion of a complete date set is an obtainable goal given the proper budget, however, for most collectors the goal might be to acquire a single coin to represent the type.^^^^The Mint Act of 1792 authorized the production of three different gold denominations. The half eagle with a value of five dollars was the first to be produced, followed by the eagle with a value of ten dollars. The quarter eagle, valued at $2!!50, would not be produced until 1796. The largest ten dollar denomination was intended for use in international trade, although pieces from other countries generally served this purpose. Use within domestic commerce was limited due to the high value of the coin. The few people of the late 18th century who had the opportunity to obtain a gold piece of such a high value would generally save it instead of spending it. Accordingly, mintages for the Capped Bust Eagles were relatively small, especially compared to the gold half eagles, which would become the coin of choice for smaller international transactions.^^^^The obverse of the Capped Bust Eagle features the bust of Liberty, facing right. The truncation is just below the upper part of the neck, which draped by a small part of clothing. Liberty wears a Phrygian cap with a lock of hair wrapping upwards, which gives the appearance of a turban. The word \"LIBERTY\" appears above, the date below, and stars to either side of the coin, coming in various counts and arrangements. The coins of 1795 and some of 1796 contain fifteen obverse stars. After Tennessee was admitted into the Union in mid-1796, a sixteenth star was added. In 1798 the number of stars was reduced to thirteen, which would remain the case until the end of the series. Some aspects of the obverse design lend to alternate names for the series, including Turban Head Eagle or Draped Bust Eagle.^^^^The initial reverse design for the series features an eagle of rather slim appearance, perched on a palm branch with wings spread. The branch usually has thirteen leaves, although one reverse die is known with only nine leaves. The eagle holds an olive branch wreath in its beak. The branch on which it sits usually has thirteen leaves, although one reverse die is known with just nine leaves. The words \"UNITED STATES OF AMERICA\" surround the image with the bottom area left blank. No denomination is included on either side of the coin, as these pieces were valued at their weight. This reverse was known as the \"small eagle\" type and used from 1795 to 1797.^^^^The second reverse, known as the \"heraldic eagle\" type, is based on the Great Seal of the United States. An eagle appears in a rather unnatural position with a shield against its breast. Thirteen small stars are between the eagle’s head and a cluster of clouds above. In the eagles claws are an olive branch and a bundle of arrows. Once again, \"UNITED STATES OF AMERICA\" is around, and no denomination is mentioned. This reverse design was introduced during 1797 and used until the end of the series in 1804. The obverse and both reverse designs were by Robert Scot.^^^^Production of the Capped Bust Eagle continued somewhat regularly until 1804 when Thomas Jefferson halted the production of gold eagles. At this time the Napoleonic Wars had driven the world price of gold higher and large quantities of U!!S!! gold coins were being melted. The denomination would not resume until 1838, after Congress adjusted the bimetallic ratio of gold and silver within U!!S!! coinage.

Liberty Head, No Motto Above Eagle|Eagle|1838|1866|Following a 34 year hiatus in production for the largest gold denomination, the Liberty Head Gold Eagle was introduced in 1838. The new ten dollar coins would feature a new design by Christian Gobrecht and a reduced weight and diameter. During the next two years, the design would be slightly modified and introduced on the two smaller gold denominations. Besides the addition of the motto on the reverse of the coin, the overall appearance would remain the same until the end of the series in 1907. For a span of nearly 70 years, the Philadelphia Mint and its branch Mints produced the Liberty Gold Eagles, creating many scarce issues and a number of true rarities.^^^^After the production of $10 gold pieces was suspended in 1804, the $5 half eagle served as the largest gold denomination and became the coin of choice for large, mostly overseas transactions. This would remain the case until the early 1830's when the price of gold had risen such that the melt value of the half eagles and quarter eagles exceeded their respective face values. Under the Coinage Act of 1834, the gold content for each denomination was reduced, which solved the issue for the half and quarter eagle, as well as cleared the way for the reintroduction of the $10 eagle denomination.^^^^The design for the Liberty Gold Eagle was created by Christian Gobrecht, the son of a German born immigrant and a talented engraver. He is also credited with the Liberty Seated design introduced on the silver denominations during the same era. For the gold coins, the head of Liberty appears, facing left. She wears a coronet inscribed LIBERTY with her hair bound in a knot with a beaded ribbon. The date appears below and thirteen stars surround. The obverse for coins of 1838 and some of 1839 feature a design known as \"Type of 1838\" differentiated by the pointed truncation of the neck, a partially covered ear, and the location of the tip of the coronet close to a star. The modified form of the design, or \"Type of 1840\", would be used until the end of the series.^^^^The reverse design depicts a bald eagle, grasping an olive branch in one talon and three arrows in the other. The eagle's wings are spread, and a large shield is placed at the chest. The inscription UNITED STATES OF AMERICA is around and the denomination expressed as TEN D. is near the bottom rim, representing the first time the face value was mentioned on the denomination. The reverse lettering was altered early in the series. For the earliest issues (1838 and 1839/8) the lettering was large, but it was reduced in size when the \"Type of 1840\" was introduced. In 1866, a scroll inscribed IN GOD WE TRUST was added above the head of the eagle. This motto had been added to the majority of denominations following the conclusion of the American Civil War. This second type for the Liberty Head Gold Eagle would be used until the conclusion of the series.^^^^In 1838 the weight and diameter of the eagle were reduced and the obverse and reverse were redesigned. Liberty now faced left and the word LIBERTY was placed on the coronet.

