YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren

1892|12120000|3|4|9|14|16|35|80|120|300|1245
1892O|3841700|5|7|15|24|35|45|100|175|-1|
1892S|990710|35|45|85|125|160|180|240|400|-1|
1893,:3/2|0|40|50|60|100|120|160|350|1000|525|
1893|3339940|4|6|10|15|24|35|100|140|300|792
1893O|1760000|15|25|65|80|90|125|175|350|-1|
1893S|2491401|7|14|18|25|40|75|150|375|-1|
1894|1330000|9|20|55|75|90|100|175|350|300|972
1894O|720000|30|45|100|150|210|360|825|1400|-1|
1894S|24|-1|-1|-1|-1|-1|-1|600000|-1|-1|
1895|690000|35|60|125|260|300|325|400|700|335|880
1895O|440000|185|225|450|750|1450|1800|3200|4800|-1|
1895S|1120000|20|30|75|100|125|175|300|625|-1|
1896|2000000|4.5|10|28|36|50|60|100|275|300|762
1896O|610000|35|75|160|200|280|325|575|1325|-1|
1896S|575056|40|70|150|200|275|310|500|825|-1|
1897|10868533|2.5|2.75|3|6|12|30|70|125|300|731
1897O|666000|35|50|140|200|250|325|500|950|-1|
1897S|1342844|8|16|50|75|90|125|250|650|-1|
1898|16320000|2.5|2.75|3|6|12|30|65|100|300|735
1898O|2130000|5|10|35|60|80|120|275|650|-1|
1898S|1702507|2.5|5|16|25|40|75|180|600|-1|
1899|19580000|2.5|2.75|3|6|12|30|65|100|300|846
1899O|2650000|4.5|6|35|45|70|100|210|575|-1|
1899S|1867493|4|4.5|8|16|20|55|160|400|-1|
1900|17600000|2.5|2.75|3|6|12|30|65|100|300|912

1900O|2010000|8|20|45|60|130|175|320|500|-1|
1900S|5168270|2.5|2.6|5|7|13|35|120|220|-1|
1901|18859665|2.5|2.6|3|6|12|32|65|100|300|813
1901O|5620000|2.5|2.75|5|9|30|50|250|460|-1|
1901S|593022|45|70|185|250|300|350|635|900|-1|
1902|21380000|2.5|2.6|3|4|12|30|65|100|300|777
1902O|4500000|2.5|2.75|6|14|28|55|180|450|-1|
1902S|2070000|3.5|7|22|35|50|75|180|450|-1|
1903|19500000|2.5|2.6|3|4|12|30|65|100|300|755
1903O|8180000|2.5|2.75|7|9|18|35|160|300|-1|
1903S|613300|40|60|200|250|400|500|750|1000|-1|
1904|14600357|2.5|2.6|3|4|12|30|65|90|300|670
1904S|800000|20|35|75|110|160|260|425|850|-1|
1905|14551623|2.5|2.6|3|4|12|30|65|90|300|727
1905O|3400000|2.5|3.25|14|25|50|75|150|250|-1|
1905S|6855199|2.5|2.6|4|7|18|40|140|200|-1|
1906|19957731|2.5|2.6|3|5|12|30|65|90|300|675
1906D|4060000|2.5|2.6|3|8|13|32|95|200|-1|
1906O|2610000|3|5|20|35|45|65|125|185|-1|
1906S|3136640|2.5|2.6|5|10|18|55|135|225|-1|
1907|22220000|2.5|2.6|3|4|12|30|65|90|300|575
1907D|4080000|2.5|2.75|5|8|18|60|150|475|-1|
1907O|5058000|2.75|3.5|15|18|24|45|100|185|-1|
1907S|3178470|2.5|2.75|6|12|25|50|200|400|-1|
1908|10600000|2.5|2.6|3|4|12|30|65|90|300|545
1908D|7490000|2.5|2.6|4|6|14|35|70|150|-1|
1908O|1789000|3|5|22|35|50|80|150|275|-1|
1908S|3220000|2.5|2.75|6|8|18|75|175|350|-1|
1909|10240000|2.5|2.6|3|3.5|12|30|65|90|300|650
1909D|954000|3.5|10|35|50|75|100|275|600|-1|
1909O|2287000|2.5|3.25|6|10|20|60|120|275|-1|
1909S|1000000|3|8.5|40|50|90|165|275|650|-1|
1910|11520000|2.5|2.6|3|3.5|12|30|65|90|300|551
1910D|3490000|2.5|3.25|5|6|20|45|125|225|-1|
1910S|1240000|2.75|4|21|34|60|90|250|385|-1|
1911|18870000|2.5|2.6|3|3.5|12|30|65|90|300|543
1911D|11209000|2.5|2.6|3|3.5|12|30|65|90|-1|
1911S|3520000|2.5|3.25|8|8|16|45|120|220|-1|
1912|19349300|2.5|2.6|3|3.5|12|30|65|90|300|700
1912D|11760000|2.5|2.6|3|3.5|12|30|65|100|-1|
1912S|3240000|2.5|3.25|5|8|16|50|100|165|-1|
1913|19760000|2.5|2.6|3|3.5|12|30|65|90|300|622
1913S|510000|10|20|50|85|125|175|260|375|-1|
1914|17360230|2.5|2.6|3|3.5|12|30|65|90|300|425
1914D|11908000|2.5|2.6|3|3.5|12|30|65|90|-1|
1914S|2100000|2.5|3.25|6|8|13|32|110|190|-1|
1915|5620000|2.5|2.6|3|3.5|12|30|65|90|300|450
1915S|960000|2.75|4|16|29|30|65|140|275|-1|
1916|18490000|2.5|2.6|3|3.5|12|30|65|90|-1|
1916S|5820000|2.5|2.6|3|3.5|12|30|65|90|-1|
