YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|ADDITIONAL_INFO

1796|22135|500|1000|1500|2100|3000|5000|8000|12000|17500|Small Eagle Reverse
1797,:All:Kinds|25261|-1|-1|-1|-1|-1|-1|-1|-1|-1|Small Eagle Reverse
1797,:16:Stars|-1|500|1100|1700|2300|3250|6000|9000|17000|23000|Small Eagle Reverse
1797,:13:Stars|-1|525|1200|1750|2500|3500|6250|9500|19000|35000|Small Eagle Reverse

1798,:All:Kinds|27550|-1|-1|-1|-1|-1|-1|-1|-1|-1|Heraldic Eagle Reverse
1798,:8:Over:7:-:16:Stars:on:Reverse|-1|125|275|425|500|1000|1500|2200|4000|10500|Heraldic Eagle Reverse
1798,:8:Over:7:-:13:Stars:on:Reverse|-1|250|700|1000|1500|2500|3500|-1|-1|-1|Heraldic Eagle Reverse
1798|-1|125|225|300|425|650|1100|1700|3500|9000|Heraldic Eagle Reverse
1800|21760|125|225|300|425|600|1100|1750|4000|10000|Heraldic Eagle Reverse
1801|34640|125|250|300|500|1200|2100|3750|7000|14000|Heraldic Eagle Reverse
1802|10975|160|425|550|900|1400|3200|7000|14000|-1|Heraldic Eagle Reverse
1803|33040|110|225|325|450|700|1800|4000|10000|-1|Heraldic Eagle Reverse
1804|8265|300|600|1200|2000|4000|10000|15000|-1|-1|Heraldic Eagle Reverse
1805|120780|100|220|285|400|525|1000|1500|3000|5500|Heraldic Eagle Reverse
1807|165000|100|220|285|400|525|950|1300|2800|5000|Heraldic Eagle Reverse
