YEAR|MINTAGE|G-4|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1837|682500|18|35|125|220|325|600|850|-1||Variety 1 - No Stars on Obverse
1838O|406034|21|60|160|300|550|1300|3100|-1||Variety 1 - No Stars on Obverse

1838,:All:Kinds|1992500|-1|-1|-1|-1|-1|-1|-1|-1||Variety 2 - Stars on Obverse
1838,:Small:Stars|-1|9|18|35|70|175|400|600|-1||Variety 2 - Stars on Obverse
1838,:Large:Stars|-1|8|11|14|40|100|150|350|-1||Variety 2 - Stars on Obverse
1838,:Partial:Drapery|-1|9|18|35|75|210|425|1000|-1||Variety 2 - Stars on Obverse
1839|1053115|8|11|14|40|100|150|350|-1||Variety 2 - Stars on Obverse
1839O|1291600|9|13|16|45|120|175|500|-1||Variety 2 - Stars on Obverse
1840,:No:Drapery|981500|8|11|14|40|100|150|350|-1||Variety 2 - Stars on Obverse
1840O,:No:Drapery|1175000|9|13|20|50|120|475|950|-1||Variety 2 - Stars on Obverse
1840,:Drapery|377500|13|30|55|125|170|425|2200|-1||Variety 2 - Stars on Obverse

1841|1622500|8|11|14|20|50|135|250|-1||Variety 2 - Stars on Obverse
1841O|2007500|9|13|15|28|90|425|900|-1||Variety 2 - Stars on Obverse
1842|1887500|8|11|14|20|50|135|250|-1||Variety 2 - Stars on Obverse
1842O|2020000|9|13|17|100|500|1300|2600|-1||Variety 2 - Stars on Obverse
1843|1370000|8|11|14|20|50|135|300|-1||Variety 2 - Stars on Obverse
1843O|150000|17|45|110|375|950|2500|-1|-1||Variety 2 - Stars on Obverse
1844|72500|100|225|350|600|800|1400|4000|-1||Variety 2 - Stars on Obverse
1845|1755000|8|11|14|20|50|135|300|-1||Variety 2 - Stars on Obverse
1845O|230000|9|20|80|185|475|1300|-1|-1||Variety 2 - Stars on Obverse
1846|31300|32|90|160|475|1000|1900|7500|-1||Variety 2 - Stars on Obverse
1847|245000|9|16|27|55|120|400|1000|-1||Variety 2 - Stars on Obverse
1848|451500|8|11|16|35|60|210|400|-1||Variety 2 - Stars on Obverse
1849|839000|8|11|14|20|50|150|425|-1||Variety 2 - Stars on Obverse
1849O|300000|8|17|50|110|300|1100|2500|-1||Variety 2 - Stars on Obverse
1850|1931500|8|11|14|20|50|125|300|-1||Variety 2 - Stars on Obverse
1850O|510000|9|13|33|65|150|425|975|-1||Variety 2 - Stars on Obverse
1851|1026500|8|11|14|20|50|160|325|-1||Variety 2 - Stars on Obverse
1851O|400000|9|17|35|100|175|1000|1600|-1||Variety 2 - Stars on Obverse
1852|1535500|8|11|14|20|50|150|300|-1||Variety 2 - Stars on Obverse
1852O|430000|10|20|50|100|175|800|1300|-1||Variety 2 - Stars on Obverse
1853,:No:Arrows|95000|22|55|90|150|225|375|450|-1||Variety 2 - Stars on Obverse

1853,:With:Arrows|12078010|7|8|12|22|60|150|300|12000||Variety 3 - Arrows at Date
1853O|1100000|7|8|17|45|120|475|1400|-1||Variety 3 - Arrows at Date
1854|4470000|7|8|12|22|60|150|300|6000||Variety 3 - Arrows at Date
1854O|1770000|7|8|13|35|75|285|500|-1||Variety 3 - Arrows at Date
1855|2075000|7|8|12|22|60|175|400|6000||Variety 3 - Arrows at Date

1856,:All:Kinds|5780000|-1|-1|-1|-1|-1|-1|-1|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1856,:Large:Date|-1|7|8|11|18|40|140|275|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1856,:Small:Date|-1|7|8|11|18|40|140|275|1800||Variety 2 Resumed, With Weight Standard of Variety 3
1856O|1180000|7|8|11|24|90|300|650|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1856S|70000|40|130|225|425|675|1500|7000|-1||Variety 2 Resumed, With Weight Standard of Variety 3

1857|5580000|7|8|10|18|40|135|275|1800||Variety 2 Resumed, With Weight Standard of Variety 3
1857O|1540000|7|8|11|18|70|190|275|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1858|1540000|7|8|10|18|40|135|275|900|300|Variety 2 Resumed, With Weight Standard of Variety 3
1858O|290000|8|15|35|75|125|300|450|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1858S|60000|35|90|160|350|675|1500|7000|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1859|429200|7|8|11|25|50|135|275|700|800|Variety 2 Resumed, With Weight Standard of Variety 3
1859O|480000|7|9|18|37|100|180|375|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1859S|60000|35|110|200|500|1750|4500|10000|-1||Variety 2 Resumed, With Weight Standard of Variety 3
1860S|140000|12|20|50|125|350|950|2000|-1||Variety 2 Resumed, With Weight Standard of Variety 3

1860|606000|7|8|10|18|40|135|250|400|1000|Variety 4 - Legend on Obverse
1860O|40000|155|350|700|1650|3000|6500|-1|-1||Variety 4 - Legend on Obverse
1861|1883000|7|8|10|18|40|100|180|400|1000|Variety 4 - Legend on Obverse
1861S|172500|13|40|80|160|250|675|1900|-1||Variety 4 - Legend on Obverse
1862|847000|7|8|10|16|25|100|120|350|550|Variety 4 - Legend on Obverse
1862S|180750|11|21|50|100|125|650|1500|-1||Variety 4 - Legend on Obverse
1863|14000|100|200|300|350|400|550|600|400|460|Variety 4 - Legend on Obverse
1863S|157500|11|20|40|70|125|450|1200|-1||Variety 4 - Legend on Obverse
1864|11000|80|170|210|350|425|550|600|400|470|Variety 4 - Legend on Obverse
1864S|230000|8|17|32|60|110|500|550|-1||Variety 4 - Legend on Obverse
1865|10000|75|200|250|310|375|525|600|400|500|Variety 4 - Legend on Obverse
1865S|175000|8|17|32|100|250|800|1900|-1||Variety 4 - Legend on Obverse
