YEAR|MINTAGE|VF-20|EF-40|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO

1946|225250000|2.5|2.5|2.75|6|-1||Silver Coinage
1946D|61043500|2.5|2.5|3|7|-1||Silver Coinage
1946S|27900000|2.5|2.5|4|10|-1||Silver Coinage
1947|121520000|2.5|2.5|3|6|-1||Silver Coinage
1947D|46835000|2.5|2.5|3.25|6|-1||Silver Coinage
1947S|34840000|2.5|2.5|3|6|-1||Silver Coinage
1948|74950000|2.5|2.5|3|6|-1||Silver Coinage
1948D|52841000|2.5|2.5|3|6|-1||Silver Coinage
1948S|35520000|2.5|2.5|2.75|6|-1||Silver Coinage
1949|30940000|2.5|2.5|12.5|16|-1||Silver Coinage
1949D|26034000|2.5|2.5|5|9|-1||Silver Coinage
1949S|13510000|2.5|2.5|20|25|-1||Silver Coinage
1950|50130114|2.5|2.5|6|7|25|51386|Silver Coinage
1950D|46803000|2.5|2.5|3|6|-1||Silver Coinage
1950S|20440000|2.5|2.5|18|22|-1||Silver Coinage
1951|103880102|2.5|2.5|2.75|5|25|57500|Silver Coinage
1951D|56529000|2.5|2.5|2.75|5|-1||Silver Coinage
1951S|31630000|2.5|2.5|6|10|-1||Silver Coinage
1952|99040093|2.5|2.5|2.75|5|16|81980|Silver Coinage
1952D|122100000|2.5|2.5|2.75|3.25|-1||Silver Coinage
1952S|44419500|2.5|2.5|3|6|-1||Silver Coinage
1953|53490120|2.5|2.5|3|4.5|14|128800|Silver Coinage
1953D|136433000|2.5|2.5|2.75|4|-1||Silver Coinage
1953S|39180000|2.5|2.5|2.75|4|-1||Silver Coinage
1954|114010203|2.5|2.5|2.75|4|10|233300|Silver Coinage
1954D|106397000|2.5|2.5|2.75|4|-1||Silver Coinage
1954S|22860000|2.5|2.5|2.75|4|-1||Silver Coinage
1955|12450181|2.5|2.5|2.75|5|8|378200|Silver Coinage
1955D|13959000|2.5|2.5|2.75|4|-1||Silver Coinage
1955S|18510000|2.5|2.5|2.75|4|-1||Silver Coinage
1956|108640000|2.5|2.5|2.75|4|3.25|669384|Silver Coinage
1956D|108015100|2.5|2.5|2.75|3.5|-1||Silver Coinage
1957|160160000|2.5|2.5|2.75|3.5|3|1247952|Silver Coinage
1957D|113354330|2.5|2.5|2.75|3.25|-1||Silver Coinage
1958|31910000|2.5|2.5|2.75|4|3|875652|Silver Coinage
1958D|136564600|2.5|2.5|2.75|4|-1||Silver Coinage
1959|85780000|2.5|2.5|2.75|3.5|3|1149291|Silver Coinage
1959D|164919790|2.5|2.5|2.75|3.5|-1||Silver Coinage
1960|70390000|2.5|2.5|2.75|3.5|3|1691602|Silver Coinage
1960D|20016040|2.5|2.5|2.75|3|-1||Silver Coinage
1961|93730000|2.5|2.5|2.75|3|3|3028244|Silver Coinage
1961D|290146550|2.5|2.5|2.75|3|-1||Silver Coinage
1962|72450000|2.5|2.5|2.75|3|3|3218019|Silver Coinage
1962D|334948380|2.5|2.5|2.75|3|-1||Silver Coinage
1963|123650000|2.5|2.5|2.75|3|3|3075645|Silver Coinage
1963D|421476530|2.5|2.5|2.75|3|-1||Silver Coinage
1964|929360000|2.5|2.5|2.75|3|3|3950762|Silver Coinage
1964D|1357517180|2.5|2.5|2.75|3|-1||Silver Coinage

1965|1652140570|-1|-1|.15|.75|-1||Clad Coinage and Silver Proofs
1966|1382734540|-1|-1|.15|.65|-1||Clad Coinage and Silver Proofs
1967|2244007320|-1|-1|.15|.5|-1||Clad Coinage and Silver Proofs
1968|424470400|-1|-1|.15|.5|-1||Clad Coinage and Silver Proofs
1968D|480748280|-1|-1|.15|.5|-1||Clad Coinage and Silver Proofs
1968S|-1|-1|-1|-1|-1|.5|3041506|Clad Coinage and Silver Proofs
1969|145790000|-1|-1|.25|.9|-1||Clad Coinage and Silver Proofs
1969D|563323870|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1969S|-1|-1|-1|-1|-1|.5|2394631|Clad Coinage and Silver Proofs
1970|345570000|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1970D|754942100|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
1970S|-1|-1|-1|-1|-1|.5|2632810|Clad Coinage and Silver Proofs
1971|162690000|-1|-1|.18|.3|-1||Clad Coinage and Silver Proofs
1971D|377914240|-1|-1|.16|.2|-1||Clad Coinage and Silver Proofs
1971S|-1|-1|-1|-1|-1|.5|3220733|Clad Coinage and Silver Proofs
1972|431540000|-1|-1|.15|.25|-1||Clad Coinage and Silver Proofs
