YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|MS-60|MS-63|MS-65|PF-63|Paren

1916|22180080|2.75|2.85|3.50|4.25|5.50|18|24|50|-1|
1916D|264000|500|800|1200|1600|2750|8000|9200|16000|-1|
1916S|10450000|3|4|5|6|10|20|35|125|-1|
1917|55230000|2.5|2.5|2.6|3|4|15|26|85|-1|
1917D|9402000|2.75|3.25|5|8|22|65|180|700|-1|
1917S|27330000|2.5|2.5|3|3.5|6|30|90|250|-1|
1918|26680000|2.5|2.5|3|6|13|40|90|225|-1|
1918D|22674800|2.5|2.5|3|6|12|55|120|250|-1|
1918S|19300000|2.5|2.5|2.75|5|8.5|45|150|375|-1|
1919|35740000|2.5|2.5|2.6|3|6|22|55|175|-1|
1919D|9939000|2.5|2.5|5|12|22|110|250|900|-1|
1919S|8850000|2.5|2.5|3.5|8|20|110|270|650|-1|
1920|59030000|2.5|2.5|2.6|3.5|5|27|35|150|-1|
1920D|19171000|2.5|2.5|2.75|6|11|70|220|450|-1|
1920S|13820000|2.5|2.5|3|6|10|65|175|650|-1|
1921|1230000|30|40|80|175|300|650|900|1700|-1|
1921D|1080000|35|70|100|200|400|675|1000|1750|-1|
1923|50130000|2.5|2.5|2.6|3|4|16|24|65|-1|
1923S|6440000|2.5|2.5|4|8|32|80|220|600|-1|
1924|24010000|2.5|2.5|2.6|3|7|23|50|120|-1|
1924D|6810000|2.5|2.5|3.5|9|26|95|280|600|-1|
1924S|7120000|2.5|2.5|3|5|24|100|290|625|-1|
1925|25610000|2.5|2.5|2.6|3|4.5|17|45|125|-1|
1925D|5117000|2.75|3|6|22|60|180|425|950|-1|
1925S|5850000|2.5|2.5|3|7|30|90|275|800|-1|
1926|32160000|2.5|2.5|2.6|3|4.5|15|35|130|-1|
1926D|6828000|2.5|2.5|3|6|17|60|150|350|-1|
1926S|1520000|4.5|7|14|32|140|550|850|1800|-1|
1927|28080000|2.5|2.5|2.6|3|4|13|32|80|-1|
1927D|4812000|2.5|2.5|3|12|35|110|225|725|-1|

1927S|4770000|2.5|2.5|2.6|4|15|120|275|800|-1|
1928|19480000|2.5|2.5|2.6|3|4.5|25|30|70|-1|
1928D|4161000|2.5|2.5|4|10|24|85|180|475|-1|
1928S|7400000|2.5|2.5|2.6|3|8|35|160|265|-1|
1929|25970000|2.5|2.5|2.6|2.75|3|13|20|40|-1|
1929D|5034000|2.5|2.5|2.6|4|8|17|22|40|-1|
1929S|4730000|2.5|2.5|2.6|2.75|5|18|25|60|-1|
1930|6770000|2.5|2.5|2.6|2.75|4.5|15|25|60|-1|
