YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1850|1170261|1650|1800|2500|3250|7250|32500|-1||Without Motto on Reverse
1850O|141000|1750|3000|5500|8500|32500|-1|-1||Without Motto on Reverse
1851|2087155|1600|1625|1635|1655|2500|15000|-1||Without Motto on Reverse
1851O|315000|1700|2450|3750|5000|14000|47500|-1||Without Motto on Reverse
1852|2053026|1600|1625|1635|1655|2500|12500|-1||Without Motto on Reverse
1852O|190000|1700|2500|3500|5000|15500|35000|-1||Without Motto on Reverse
1853|1261326|1600|1625|1635|1655|3000|16000|-1||Without Motto on Reverse
1853O|71000|1600|1800|3250|5500|22500|-1|-1||Without Motto on Reverse
1854|757899|1600|1625|1635|1700|6500|17500|-1||Without Motto on Reverse
1854O|3250|75000|125000|220000|280000|475000|-1|-1||Without Motto on Reverse
1854S|141468|1625|1750|2600|3250|4250|11000|-1||Without Motto on Reverse
1855|364666|1600|1625|1635|1700|6500|30000|-1||Without Motto on Reverse
1855O|8000|2750|11000|25000|30000|65000|-1|-1||Without Motto on Reverse
1855S|879675|1600|1625|1635|1675|5500|11000|-1||Without Motto on Reverse
1856|329878|1600|1625|1635|1655|5750|18500|-1||Without Motto on Reverse
1856O|2250|75000|125000|225000|300000|425000|-1|-1||Without Motto on Reverse
1856S|1189750|1600|1625|1635|1700|4250|11000|-1||Without Motto on Reverse
1857|439375|1600|1625|1635|1655|2650|15000|-1||Without Motto on Reverse
1857O|30000|1850|2250|4750|6500|25000|67500|-1||Without Motto on Reverse
1857S|970500|1600|1625|1650|1700|2750|6000|-1||Without Motto on Reverse
1858|211714|1600|1625|1650|2200|3250|22500|-1||Without Motto on Reverse 
1858O|35250|1850|2750|4750|6750|27500|-1|-1||Without Motto on Reverse
1858S|846710|1600|1625|1650|1700|6500|-1|-1||Without Motto on Reverse
1859|43597|1650|2000|3250|5500|22500|-1|85000|80|Without Motto on Reverse
1859O|9100|3750|13500|22500|27500|77500|-1|-1||Without Motto on Reverse
1859S|636445|1600|1625|1635|1700|3750|25000|-1||Without Motto on Reverse
1860|577670|1600|1625|1635|1655|2750|10000|65000|59|Without Motto on Reverse
1860O|6600|3750|11000|21000|26500|75000|-1|-1||Without Motto on Reverse
1860S|544950|1600|1635|1675|1700|5500|10000|-1||Without Motto on Reverse

1861|2976453|1600|1625|1635|1650|2750|7500|65000|66|Without Motto on Reverse
1861O|17741|3250|10000|27500|37500|62500|-1|-1||Without Motto on Reverse
1861S|768000|1600|1625|1650|1675|6500|22000|-1||Without Motto on Reverse
1862|92133|1600|1950|3750|5000|11000|26500|45000|35|Without Motto on Reverse
1862S|854173|1600|1625|1650|1800|6500|22000|-1||Without Motto on Reverse
1863|142790|1600|1625|1650|3250|13250|24500|45000|30|Without Motto on Reverse
1863S|966570|1600|1625|1650|1800|5000|22500|-1||Without Motto on Reverse
1864|204235|1600|1625|1650|1800|7500|-1|45000|50|Without Motto on Reverse
1864S|793660|1600|1625|1650|1700|5500|22500|-1||Without Motto on Reverse
1865|351175|1600|1625|1650|1675|4250|13250|45000|25|Without Motto on Reverse
1865S|1042500|1600|1625|1650|1700|3000|6750|-1||Without Motto on Reverse
1866S|120000|2250|5500|22500|32500|80000|-1|-1||Without Motto on Reverse

1866|698745|1600|1625|1635|1650|5500|16500|42500|30|Motto Above Eagle - Value TWENTY D
1866S|698745|1600|1625|1635|3250|11250|-1|-1||Motto Above Eagle - Value TWENTY D
1867|251015|1600|1625|1635|1650|2150|12500|42500|50|Motto Above Eagle - Value TWENTY D
1867S|920750|1600|1625|1635|1650|7500|-1|-1||Motto Above Eagle - Value TWENTY D
1868|98575|1600|1625|1635|1650|7500|37500|42500|25|Motto Above Eagle - Value TWENTY D
1868S|837500|1600|1625|1635|1650|8500|30000|-1||Motto Above Eagle - Value TWENTY D
