YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1907,:High:Relief,:Roman:Numerals:(MCMVII),:Wire:Rim|12367|6000|7000|8500|9000|11000|20000|-1||Without Motto IN GOD WE TRUST

1907|391667|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1908|4271551|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1908D|663750|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1908,:With:Motto|156258|1600|1625|1635|1650|1700|1750|17500|101|Arabic Numerals, No Motto
1908D,:With:Motto|349500|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1908S,:With:Motto|22000|1700|2500|5500|5750|8750|16500|-1||Arabic Numerals, No Motto

1909,:9:Over:8|0|1600|1625|1635|1650|1700|3500|-1||Arabic Numerals, No Motto
1909|161282|1600|1625|1635|1650|1700|2450|17500|67|Arabic Numerals, No Motto
1909D|52500|1600|1625|1635|1650|1700|5500|-1||Arabic Numerals, No Motto
1909S|2774925|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1910|482000|1600|1625|1635|1650|1700|1750|17500|167|Arabic Numerals, No Motto
1910D|429000|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1910S|2128250|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1911|197250|1600|1625|1635|1650|1750|1850|17500|100|Arabic Numerals, No Motto
1911D|846500|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1911S|775750|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1912|149750|1600|1625|1635|1650|1750|2450|17500|74|Arabic Numerals, No Motto
1913|168780|1600|1625|1635|1650|1750|2500|17500|58|Arabic Numerals, No Motto
1913D|393500|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1913S|34000|1600|1625|1635|1650|1700|3500|-1||Arabic Numerals, No Motto
1914|95250|1600|1625|1635|1650|1800|2750|17500|70|Arabic Numerals, No Motto
1914D|453000|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1914S|1498000|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1915|152000|1600|1625|1635|1650|1850|1900|20000|50|Arabic Numerals, No Motto
1915S|567500|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1916S|796000|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1920|228250|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1920S|558000|10000|15000|22000|26000|40000|75000|-1||Arabic Numerals, No Motto
1921|528500|22000|35000|45000|50000|75000|175000|-1||Arabic Numerals, No Motto
1922|1375500|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1922S|2658000|1600|1625|1635|1650|1700|4500|-1||Arabic Numerals, No Motto
1923|566000|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1923D|1702250|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1924|4323250|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1924D|3049500|1900|2000|2100|2450|3250|7850|-1||Arabic Numerals, No Motto
1924S|2927500|1900|1950|2000|2350|3250|8500|-1||Arabic Numerals, No Motto
1925|2831750|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1925D|2938500|1650|1850|2250|2750|3750|8750|-1||Arabic Numerals, No Motto
1925S|3776500|2000|2250|2850|3250|7850|14500|-1||Arabic Numerals, No Motto
1926|816750|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1926D|481000|6000|11000|14000|17500|21000|26000|-1||Arabic Numerals, No Motto
1926S|2041500|1850|2000|2350|2750|3000|4650|-1||Arabic Numerals, No Motto
1927|2946750|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1927D|180000|-1|250000|300000|350000|500000|850000|-1||Arabic Numerals, No Motto
1927S|3107000|4000|7000|9000|11000|16000|35000|-1||Arabic Numerals, No Motto
1928|8816000|1600|1625|1635|1650|1700|1750|-1||Arabic Numerals, No Motto
1929|1779750|7500|10000|12000|13000|15000|26000|-1||Arabic Numerals, No Motto
1930S|74000|20000|30000|35000|40000|50000|75000|-1||Arabic Numerals, No Motto
1931|2938250|7500|10000|15000|20000|30000|50000|-1||Arabic Numerals, No Motto
1931D|106500|7500|10000|14000|18000|27500|60000|-1||Arabic Numerals, No Motto
1932|1101750|7500|10000|14000|18000|22000|50000|-1||Arabic Numerals, No Motto
1933|445500|-1|-1|-1|-1|-1|-1|-1||Arabic Numerals, No Motto
