YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|ADDITIONAL_INFO

1795|5583|20000|25000|35000|45000|52500|80000|175000|Small Eagle Reverse
1796|4146|23000|27000|40000|50000|57500|87500|225000|Small Eagle Reverse
1797,:Small:Eagle|3615|25000|32500|50000|75000|90000|115000|-1|Small Eagle Reverse

1797,:Large:Eagle|10940|7000|9500|15000|16500|18500|32500|80000|Heraldic Eagle Reverse
1798,:8:Over:7:-:9:Stars:Left:-:4:Rt|900|10000|13000|25000|35000|40000|75000|175000|Heraldic Eagle Reverse
1798,:8:Over:7:-:7:Stars:Left:-:6:Rt|842|23000|27500|45000|85000|120000|200000|-1|Heraldic Eagle Reverse
1799|37449|6500|7750|12000|16000|17500|20000|55000|Heraldic Eagle Reverse
1800|5999|6500|7750|12000|16000|17500|20000|55000|Heraldic Eagle Reverse
1801|44344|6500|7750|12000|16000|17500|20000|55000|Heraldic Eagle Reverse
1803|15017|6500|7750|12000|16000|17500|20000|55000|Heraldic Eagle Reverse
1804|3757|12000|15000|23000|35000|42500|55000|150000|Heraldic Eagle Reverse
