YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren

1838|7200|2000|4750|10000|12500|30000|75000|-1|
1839,:Large:Letters|25801|850|1500|4000|5000|20000|40000|-1|
1839,:Small:Letters|12447|1100|2300|4500|6000|22000|70000|-1|
1840|47338|800|875|950|1200|7000|-1|-1|
1841|63131|800|825|850|1000|5500|22000|-1|
1841O|2500|2250|4750|13500|17500|32500|-1|-1|
1842|81507|800|825|900|1075|10000|22000|-1|
1842O|27400|850|950|2000|2500|13500|-1|-1|
1843|75462|800|825|1000|1250|12000|-1|-1|
1843O|175162|800|825|950|1100|8500|32000|-1|
1844|6361|900|2000|3500|4000|10000|-1|-1|
1844O|118700|825|850|1250|1550|8750|-1|-1|
1845|26153|800|825|1250|1550|10000|-1|-1|
1845O|47500|850|900|1800|2250|10000|30000|-1|
1846|20095|800|900|3500|4000|14000|-1|-1|
1846O|81780|825|875|2500|3250|10000|25000|-1|
1847|862258|800|825|850|875|2500|15000|-1|
1847O|571500|825|850|900|975|4000|13000|-1|
1848|145484|800|825|850|875|3500|15000|-1|
1848O|35850|850|900|2350|2750|11000|20000|-1|
1849|653618|800|825|850|875|2500|10000|-1|
1849O|23900|850|1600|4000|5250|18000|-1|-1|
1850|291451|800|825|850|875|2750|13000|-1|
1850O|57500|850|875|1250|1500|12000|-1|-1|
1851|176328|800|825|850|875|3000|15000|-1|
1851O|263000|825|875|900|1000|4500|17000|-1|
1852|263106|800|825|850|875|3500|16000|-1|
1852O|18000|850|950|2500|3250|18000|-1|-1|
1853,:3:Over:2|201253|800|950|1500|1750|10000|-1|-1|
1853|-1|800|825|850|875|2500|13000|-1|
1853O|51000|825|850|900|1000|8500|-1|-1|
1854|54250|800|825|850|875|3500|-1|-1|
1854O|52500|800|825|850|1450|6500|23000|-1|
1854S|123826|800|850|950|1150|6500|25000|-1|
1855|121701|800|825|850|875|3000|12000|-1|
1855O|18000|900|1250|4500|6500|18000|-1|-1|

1855S|9000|1500|2300|4250|6000|19000|-1|-1|
1856|60490|800|825|850|875|2500|12000|-1|
1856O|14500|825|1100|2750|3500|12000|-1|-1|
1856S|68000|800|825|900|1100|6000|-1|-1|
1857|16606|800|825|1250|1450|7000|-1|-1|
1857O|5500|900|1250|3000|3750|20000|-1|-1|
1857S|26000|825|900|1500|1850|7000|13000|-1|
1858|2521|3500|6000|8500|10500|25000|-1|-1|
1858O|20000|825|900|1250|1500|6000|23000|-1|
1858S|11800|1100|2000|3000|3750|22000|-1|-1|
1859|16013|800|825|900|950|6000|12000|45000|80
1859O|2300|3250|7500|15000|20000|40000|-1|-1|
1859S|7000|1550|3000|8500|11000|30000|-1|-1|
1860|15055|800|825|900|1000|5000|12000|31000|50
1860O|11100|900|1150|2250|2750|8000|-1|-1|
1860S|5000|1850|3250|8000|10000|27500|-1|-1|
1861|113164|800|825|850|875|4000|12000|30000|69
1861S|15500|1000|1850|4000|5000|22000|-1|-1|
1862|10960|800|850|1500|1750|8000|18000|30000|35
1862S|12500|1250|2250|3250|4000|24000|-1|-1|
1863|1218|2750|5500|8500|9500|30000|50000|30000|30
1863S|10000|1250|2400|6000|8000|15000|-1|-1|
1864|3530|1250|2500|5000|7500|10000|-1|30000|50
1864S|2500|3000|7000|14000|16000|36000|-1|-1|
1865|3980|1300|2500|4000|6000|23000|37500|30000|25
1865S|16700|2350|4000|10000|12500|30000|50000|-1|
1866S|8500|1600|2200|7000|8500|30000|-1|-1|
