YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren

1856|1762936|200|215|220|225|250|700|18500|
1856D|1460|2750|4250|5000|6500|19000|45000|-1|
1857|774789|200|215|220|225|250|700|8500|
1857C|13280|775|1100|2100|2750|7500|22000|-1|
1857D|3533|900|1350|2750|3500|7000|25000|-1|
1857S|10000|375|450|850|1100|4250|14000|-1|
1858|117995|200|215|220|225|250|700|5000|
1858D|3477|900|1150|2250|2750|6500|17000|-1|

1858S|10000|275|375|1000|1300|4250|12500|-1|
1859|168244|200|215|220|235|275|825|4500|80
1859C|5235|800|1150|2250|2750|7250|23500|-1|
1859D|4952|900|1250|2100|2500|6750|16500|-1|
1859S|15000|225|275|875|1150|4250|10000|-1|
1860|36514|200|215|220|235|275|750|4000|154
1860D|1566|1800|2750|5500|6750|12500|40000|-1|
1860S|13000|275|375|575|775|2000|4500|-1|
1861|527150|200|215|220|225|275|600|4000|349
1861D|1250|6500|12500|24500|28500|40000|67500|-1|
1862|1361355|200|215|220|225|275|600|4250|35
1863|6200|450|1000|2250|2750|4500|7500|5000|50
1864|5900|300|375|650|850|950|2250|6000|50
1865|3725|300|450|600|700|1150|2250|5000|25
1866|7100|300|375|550|750|800|1650|4750|30
1867|5200|300|375|500|650|850|1650|5000|50
1868|10500|225|325|375|550|750|1650|5000|25
1869|5900|275|375|500|600|775|1500|5000|25
1870|6300|225|325|375|475|650|1250|5000|35
1870S|3000|375|550|950|1100|1850|4500|-1|
1871|3900|225|325|375|475|600|1100|4500|30
1872|3500|225|300|375|475|675|1500|5000|30
1873,:Close:3|1800|300|600|675|725|1150|2500|8500|25
1873,:Open:3|123300|200|215|220|225|275|600|-1|
1874|198800|200|215|220|225|275|600|6000|20
1875|400|1600|2850|3750|4500|6750|9000|12000|20
1876|3200|225|275|375|425|500|850|4000|45
1877|3900|215|275|375|425|500|850|5000|20
1878|3000|215|275|375|425|500|850|4500|20
1879|3000|215|225|250|275|350|800|4500|30
1880|1600|210|215|220|235|350|750|4000|36
1881|7620|210|225|215|225|350|775|4000|87
1882|5000|210|225|250|275|350|775|4500|125
1883|10800|200|225|250|265|350|775|4000|207
1884|5230|200|215|225|235|350|775|4000|1006
1885|11156|200|225|250|265|350|700|3750|1105
1886|5000|200|215|220|225|350|700|3750|1016
1887|7500|200|215|220|225|350|700|3750|1043
1888|15501|200|215|220|225|325|600|3750|1079
1889|28950|200|215|220|225|325|600|3750|1779
