YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63
1849,:Open:Wreath:-:No:L:on:Truncation|688567|155|185|215|225|475|1150
1849,:Close:Wreath|0|155|185|215|225|475|950
1849C|11634|750|1100|1700|2000|5500|12500
1849D|21588|900|1350|1850|2250|3750|8750
1849O|215000|155|185|250|375|550|2500
1850|481953|155|180|200|215|300|800
1850C|6966|800|1000|1850|3000|5500|22500
1850D|8382|950|1350|2150|3500|8500|18500
1850O|14000|215|300|550|1000|2200|4500
1851|3317671|155|180|200|210|275|800
1851C|41267|800|1100|1350|1750|2500|4750
1851D|9882|900|1250|1650|2000|3850|11500
1851O|290000|165|185|215|225|575|1800
1852|2045351|155|180|200|210|275|800
1852C|9434|750|1000|1350|1600|3450|7500
1852D|6360|800|1250|1750|1850|6500|23500
1852O|140000|160|185|200|210|275|800
1853|4076051|155|180|200|210|275|800
1853C|11515|750|1000|1550|1850|3750|9000
1853D|6583|900|1200|1850|3000|6500|18500
1853O|290000|165|185|200|225|450|1600
1854|855502|155|180|200|210|275|800
1854D|2935|950|2250|3850|4750|8000|21500
1854S|14632|275|500|600|850|1850|3850
