YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63

1840|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1840,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1841|-1|-1|-1|-1|-1|-1|-1|-1|-1|2500
1841,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2500

1842|-1|-1|-1|-1|-1|-1|-1|-1|-1|3000
1842,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2500

1843|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1843,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2500
1844|-1|-1|-1|-1|-1|-1|-1|-1|-1|3000
1844,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2600
1845|-1|-1|-1|-1|-1|-1|-1|-1|-1|3000
1845,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1846|-1|-1|-1|-1|-1|-1|-1|-1|-1|3000
1846,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1847|-1|-1|-1|-1|-1|-1|-1|-1|-1|3000
1847,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1848|-1|-1|-1|-1|-1|-1|-1|-1|-1|3000
1848,:Restrike|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1849,:Small:Date|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750
1849,:Restrike:-:Small:Date|-1|-1|-1|-1|-1|-1|-1|-1|-1|2750

1849,:Large:Date|39864|17|23|30|40|75|100|225|300|-1
1850|39812|17|23|30|40|75|100|225|350|4000
1851|147672|15|20|28|35|50|80|135|250|3000
1852|-1|-1|-1|-1|-1|-1|-1|-1|-1|3500
1853|129694|15|20|28|35|50|80|135|250|-1
1854|55358|15|20|28|35|50|80|135|250|3000
1855|56500|15|20|28|35|50|80|135|250|3000
1856|40430|17|22|30|40|60|85|150|275|3000
1857|35180|18|25|45|70|85|130|195|320|3000
