YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63

1809|1154572|14|25|30|35|55|90|155|335|460|-1
1810|215000|14|25|35|60|110|250|450|950|1500|-1
1811|63140|50|125|275|750|1100|2900|3750|4500|6750|-1

1825|63000|25|30|35|50|90|150|450|800|-1
1826|234000|25|30|35|50|85|125|275|450|-1
1828,:13:Stars|606000|23|30|35|45|55|120|190|275|-1
1828,:12:Stars|-1|24|35|40|50|125|175|650|900|-1
1829|487000|23|30|35|45|65|95|175|325|-1
1831|2200|-1|-1|-1|-1|-1|-1|-1|-1|-1
1832|51000|23|28|32|40|55|95|175|250|2750
1833|103000|23|28|32|40|55|95|175|250|2750
1834|141000|23|28|32|40|55|95|175|250|2750
1835|398000|23|28|32|40|55|95|175|250|2750
1836|-1|-1|-1|-1|-1|-1|-1|-1|-1|8000
