YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40|AU-50

1800|202908|16|35|45|60|150|300|500
1802,:2:Over:0|20266|130|360|800|1850|5000|13500|-1
1803|92000|16|35|50|70|160|450|700

1804,:All:Kinds|1055312|-1|-1|-1|-1|-1|-1|-1
1804,:Plain:4:-:Stems:to:Wreath|-1|18|40|60|95|175|470|1000
1804,:Plain:4:-:Stemless:Wreath|-1|16|35|45|70|95|160|300
1804,:Crosslet:4:-:Stemless:Wreath|-1|16|35|45|70|95|160|300
1804,:Crosslet:4:-:Stems:to:Wreath|-1|16|35|45|70|95|160|300

1804,:Spiked:Chain|-1|17|40|50|75|110|200|370
1805,:All:Kinds|814464|-1|-1|-1|-1|-1|-1|-1
1805,:Medium:5:-:Stemless:Wreath|-1|16|35|45|70|100|160|300
1805,:Small:5:-:Stemless:Wreath|-1|110|380|710|1750|3100|5250|-1
1805,:Large:5:-:Stemless:Wreath|-1|16|35|45|70|100|160|300

1806,:All:Kinds|356000|-1|-1|-1|-1|-1|-1|-1
1806,:Small:6:-:Stems:to:Wreath|-1|40|110|185|325|750|1400|3750
1806,:Small:6:-:Stemless:Wreath|-1|16|35|45|55|75|145|290
1806,:Large:6:-:Stems:to:Wreath|-1|16|35|45|55|75|145|290
1807|476000|16|35|45|60|100|225|500
1808,:8:Over:7|-1|30|70|125|280|700|1750|4750
1808,:Normal:Date|400000|16|35|45|60|100|225|500
