YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|ADDITIONAL_INFO

1796,:6:Over:5|10230|275|600|750|1100|2000|3500|6000|11500|20000|Small Eagle Reverse
1796|-1|250|500|700|1000|1600|3000|5000|7000|13000|Small Eagle Reverse
1796,:LIKERTY|-1|250|500|700|1000|1600|3000|5000|7000|16000|Small Eagle Reverse
1797,:15:Stars|44527|250|500|700|1000|1600|3000|5000|7000|12000|Small Eagle Reverse
1797,:16:Stars|-1|250|500|700|1000|1600|3000|5000|7000|12000|Small Eagle Reverse
1797,:13:Stars|-1|300|600|800|1300|2000|4500|9000|19000|30000|Small Eagle Reverse

1800|24000|150|300|450|700|1000|1500|3000|4500|9500|Heraldic Eagle Reverse
1800,:LIKERTY|16000|150|300|450|700|1000|1500|3000|4500|9500|Heraldic Eagle Reverse
1801|27760|150|300|500|800|1100|2000|3500|6000|11000|Heraldic Eagle Reverse
1802|3060|10000|16000|23000|32000|60000|125000|-1|-1|-1|Heraldic Eagle Reverse
1803|37850|175|400|500|850|1150|1750|3750|6200|10500|Heraldic Eagle Reverse
1805|15600|175|400|500|850|1500|3500|10000|-1|-1|Heraldic Eagle Reverse
