YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren
1892|934000|14|16|30|40|125|160|220|400|475|1245
1892O|390000|125|150|190|210|250|275|460|850|-1|
1892S|1029028|100|120|175|200|240|300|475|1200|-1|
1893|1826000|13|14|28|40|100|150|300|700|475|792
1893O|1389000|15|25|32|65|160|200|310|750|-1|
1893S|740000|65|85|100|160|240|325|620|2000|-1|
1894|1148000|14|20|32|60|130|170|270|500|475|972
1894O|2138000|13|14|30|50|130|160|260|500|-1|
1894S|4048690|13|14|28|45|120|150|255|675|-1|
1895|1834338|13|14|28|40|110|150|260|500|475|880
1895O|1766000|13.50|14.50|28|50|110|165|275|675|-1|
1895S|1108086|14|18|40|70|125|175|275|650|-1|
1896|950000|13|14|28|50|110|150|275|425|500|762
1896O|924000|15|20|65|100|175|300|650|2750|-1|
1896S|1140948|38|50|75|135|185|240|600|1600|-1|
1897|2480000|13|14|17|35|65|140|220|400|500|731
1897O|632000|60|100|200|325|400|550|800|1600|-1|
1897S|933900|55|85|120|210|350|450|675|1500|-1|
1898|2956000|13|14|16|30|75|150|200|400|500|735
1898O|874000|14|25|100|125|185|250|475|1600|-1|
1898S|2358550|13.50|14|25|60|100|150|400|1700|-1|
1899|5538000|13|14|16|30|65|140|200|400|500|846
1899O|1724000|13.50|14|25|60|120|160|325|700|-1|
1899S|1686411|13|14|30|50|100|150|300|1000|-1|
1900|4762000|13|14|16|35|65|140|200|400|475|912
1900O|2744000|13|14|22|60|135|160|325|1450|-1|
1900S|2560322|13|14|18|40|100|140|275|1100|-1|
1901|4268000|13|14|16|30|65|150|200|400|475|813
1901O|1124000|13|15|28|75|140|200|700|2600|-1|
1901S|847044|15|23|75|160|285|450|900|3100|-1|
1902|4922000|13|14|16|30|65|150|200|425|475|777
1902O|2526000|13|14|20|40|90|150|350|1750|-1|
1902S|1460070|13|14|22|50|110|165|350|1000|-1|
1903|2278000|13|14|16|35|70|150|210|750|475|755
1903O|2100000|13|14|18|40|90|160|300|1000|-1|
1903S|1920772|13|14|18|40|95|170|300|1000|-1|
1904|2992000|13|14|16|30|65|140|200|550|475|670
1904O|1117600|13|14.50|30|90|150|225|550|1500|-1|
1904S|553038|16|30|120|250|500|800|3600|8500|-1|
1905|662000|13|14.50|30|50|110|140|230|700|475|727
1905O|505000|14|16|45|90|140|175|350|850|-1|
1905S|2494000|13|14|18|40|90|150|300|900|-1|
1906|2638000|13|14|16|36|75|120|200|400|475|675
1906D|4028000|13|14|15|36|75|120|200|400|-1|
1906O|2446000|13|14|16|38|80|120|275|700|-1|
1906S|1740154|13|14|18|40|90|120|275|525|-1|
1907|2598000|13|14|16|32|70|120|200|400|475|575
1907D|3856000|13|14|16|32|70|120|200|400|-1|
1907O|3946600|13|14|16|32|70|140|220|400|-1|
1907S|1250000|13|14|25|75|120|275|525|2750|-1|
1908|1354000|13|14|16|30|70|120|200|400|475|545
1908D|3280000|13|14|16|30|65|120|200|400|-1|
1908O|5360000|13|14|16|30|70|120|210|425|-1|
1908S|1644828|13|14|20|50|110|170|350|1200|-1|
1909|2368000|13|14|16|40|65|120|200|400|475|650
1909O|925400|13|14|20|45|120|200|350|850|-1|
1909S|1764000|13|14|16|35|90|140|260|550|-1|
1910|418000|13|14.50|30|55|130|150|290|500|475|551
1910S|1948000|13|14|16|35|85|130|250|900|-1|
1911|1406000|13|14|15|30|65|120|180|425|475|543
1911D|695080|13|14|16|32|75|125|240|425|-1|
1911S|1272000|13|14|16|32|75|130|250|600|-1|
1912|1550000|13|14|15|30|70|120|200|400|475|700
1912D|2300800|13|14|15|30|70|120|200|400|-1|
1912S|1370000|13|14|16|32|75|130|240|475|-1|
1913|188000|30|35|90|165|265|350|500|800|550|627
1913D|534000|13.50|14|18|35|90|120|225|425|-1|
1913S|604000|13.50|15|20|40|100|140|275|550|-1|
1914|124230|65|75|140|225|300|425|600|900|750|380
1914S|992000|13|14|16|40|80|140|275|500|-1|
1915|138000|45|70|120|150|250|380|600|1100|750|450
1915D|1170400|13|14|15|30|65|130|200|400|-1|
1915S|1604000|13|14|15|30|65|130|200|400|-1|
