YEAR|MINTAGE|VF-20|EF-40|MS-60|MS-63|MS-65|PF-63|PF-65|Paren
1948|3006814|12|12|13|15|40|-1|-1|
1948D|4028600|12|12|13|14|65|-1|-1|
1949|5614000|12|12|16|25|70|-1|-1|
1949D|4120600|12|12|17|24|350|-1|-1|
1949S|3744000|12|12|25|35|60|-1|-1|
1950|7742123|12|12|14|18|50|125|200|51386
1950D|8031600|12|12|13|17|125|-1|-1|
1951|16802102|12|12|13|14|30|90|150|57500
1951D|9475200|12|12|15|18|75|-1|-1|
1951S|13696000|12|12|14|16|35|-1|-1|
1952|21192093|12|12|13|14|35|50|100|81980
1952D|25395600|12|12|13|14|60|-1|-1|
1952S|5526000|12|12|20|25|50|-1|-1|
1953|2668120|12|12|13|15|35|35|65|128800
1953D|20900400|12|12|13|14|50|-1|-1|
1953S|4148000|12|12|14|18|30|-1|-1|
1954|13188202|12|12|13|14|27|20|45|233300
1954D|25445580|12|12|13|15|50|-1|-1|
1954S|4993400|12|12|13|15|20|-1|-1|
1955|2498181|12|12|14|16|30|20|40|378200
1956|4032000|12|12|13|15|20|15|20|669384
1957|5114000|12|12|13|14|20|13|14|1247952
1957D|19966850|12|12|13|14|22|-1|-1|
1958|4042000|12|12|13|14|20|13|16|875652
1958D|23962412|12|12|13|14|20|-1|-1|
1959|6200000|12|12|13|14|32|12|13|1149291
1959D|13053720|12|12|13|14|45|-1|-1|
1960|6024000|12|12|13|14|50|12|13|1691602
1960D|18215812|12|12|13|14|80|-1|-1|
1961|8290000|12|12|13|14|30|12|13|3028244
1961D|20276000|12|12|13|14|60|-1|-1|
1962|9714000|12|12|13|14|50|12|13|3218019
1962D|35473000|12|12|13|14|60|-1|-1|
1963|22164000|12|12|13|14|18|12|13|3075645
1963D|67069292|12|12|13|14|18|-1|-1|
