YEAR|MINTAGE|MS-63|PF-63|PF-65|Paren|ADDITIONAL_INFO

1964|273304004|12|12|13|3950762|Silver Coinage
1964D|156205446|12|-1|-1||Silver Coinage

1965|65879366|5|-1|-1||Silver Clad Coinage
1966|108984932|5|-1|-1||Silver Clad Coinage
1967|295046978|5|-1|-1||Silver Clad Coinage
1968D|246951930|5|-1|-1||Silver Clad Coinage
1968S|-1|-1|5|6|3041506|Silver Clad Coinage
1969D|129881800|5|-1|-1||Silver Clad Coinage
1969S|-1|-1|5|6|2934631|Silver Clad Coinage
1970D|2150000|10|-1|-1||Silver Clad Coinage
1970S|-1|-1|5|9|2632810|Silver Clad Coinage

1971|155164000|.55|-1|-1||Clad Coinage and Silver Proofs
1971D|302097424|.55|-1|-1||Clad Coinage and Silver Proofs
1971S|-1|-1|1.50|3|3220733|Clad Coinage and Silver Proofs
1972|153180000|.6|-1|-1||Clad Coinage and Silver Proofs
1972D|141890000|.6|-1|-1||Clad Coinage and Silver Proofs
1972S|-1|-1|1.5|3|3260996|Clad Coinage and Silver Proofs
1973|64964000|.55|-1|-1||Clad Coinage and Silver Proofs
1973D|83171400|.55|-1|-1||Clad Coinage and Silver Proofs
1973S|-1|-1|1.5|2.5|2760339|Clad Coinage and Silver Proofs
1974|201596000|.55|-1|-1||Clad Coinage and Silver Proofs
1974D|79066300|.55|-1|-1||Clad Coinage and Silver Proofs
1974S|-1|-1|1.5|3|2612568|Clad Coinage and Silver Proofs

1976,:Clad|234308000|.55|-1|-1||Bicentennial
1976D,:Clad|287565248|.55|-1|-1||Bicentennial
1976S,:Clad|-1|-1|.75|1.25|7059099|Bicentennial
1976D,:Silver|11000000|5|-1|-1||Bicentennial
1976S,:Silver|-1|-1|5|6|4000000|Bicentennial

1977|43598000|.6|-1|-1||Eagle Reverse Resumed
1977D|31449106|.6|-1|-1||Eagle Reverse Resumed
1977S|-1|-1|1|1.25|3251152|Eagle Reverse Resumed
1978|1435000|.6|-1|-1||Eagle Reverse Resumed
