YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1839,:No:Drapery:From:Elbow|0|18|30|50|140|325|500|2600|9000|-1||Variety 1 - No Motto Above Eagle
1839,:Drapery|1972400|14|16|19|30|50|65|275|950|-1||Variety 1 - No Motto Above Eagle
1840|1435008|14|17|21|35|60|70|275|650|-1||Variety 1 - No Motto Above Eagle
1840O|855100|14|15|18|30|48|60|300|800|-1||Variety 1 - No Motto Above Eagle
1841|310000|15|17|22|65|110|140|500|800|-1||Variety 1 - No Motto Above Eagle
1841O|401000|14|16|19|30|50|65|375|750|-1||Variety 1 - No Motto Above Eagle
1842,:Small:Date|2012764|14|16|20|35|55|70|450|950|-1||Variety 1 - No Motto Above Eagle
1842,:Medium:Date|0|14|16|19|30|50|65|300|850|-1||Variety 1 - No Motto Above Eagle
1842O,:Small:Date|754000|200|375|600|1100|1900|2750|5500|-1|-1||Variety 1 - No Motto Above Eagle
1842O,:Medium:Date|0|14|15|18|28|45|65|325|1600|-1||Variety 1 - No Motto Above Eagle
1843|3844000|14|15|18|28|45|65|250|425|-1||Variety 1 - No Motto Above Eagle
1843O|2268000|14|15|18|28|45|65|300|450|-1||Variety 1 - No Motto Above Eagle
1844|1766000|14|15|18|28|45|65|250|425|-1||Variety 1 - No Motto Above Eagle
1844O|2005000|14|15|18|28|45|65|300|900|-1||Variety 1 - No Motto Above Eagle
1845|589000|15|16|20|32|50|90|380|1200|-1||Variety 1 - No Motto Above Eagle
1845O|2094000|14|15|17|24|45|65|360|450|-1||Variety 1 - No Motto Above Eagle
1846|2210000|14|15|17|24|45|65|300|500|-1||Variety 1 - No Motto Above Eagle
1846,:6:Over:Horizontal:6|0|45|80|125|175|300|500|1100|4100|-1||Variety 1 - No Motto Above Eagle
1846O|2304000|14|15|17|24|45|75|450|900|-1||Variety 1 - No Motto Above Eagle
