YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|PF-65|Paren
1916|608000|20|25|40|90|125|150|200|250|-1|-1|
1916D,:Obverse:Mintmark|1014400|20|26|35|70|115|145|200|300|-1|-1|
1916S,:Obverse:Mintmark|508000|50|65|110|225|325|400|650|1200|-1|-1|
1917|12292000|12|12|13|14|20|35|75|120|-1|-1|
1917D,:Obverse:Mintmark|765400|12|16|32|70|110|150|275|650|-1|-1|
1917D,:Reverse:Mintmark|1940000|12|13|25|60|140|250|450|950|-1|-1|
1917S,:Obverse:Mintmark|952000|15|22|60|165|375|700|1300|2500|-1|-1|
1917S,:Reverse:Mintmark|5554000|12|13|14|20|38|85|175|900|-1|-1|
1918|6634000|12|13|15|35|90|150|300|650|-1|-1|
1918D|3853000|12|13|16|45|120|250|650|1400|-1|-1|
1918S|10282000|12|13|14|20|40|100|250|1300|-1|-1|
1919|962000|12|18|35|150|275|400|650|1800|-1|-1|
1919D|1165000|14|20|40|160|350|850|2500|8500|-1|-1|
1919S|1552000|14|18|35|140|400|900|1600|5200|-1|-1|
1920|6372000|12|13|14|22|45|85|150|350|-1|-1|
1920D|1551000|12|14|30|120|240|450|750|2200|-1|-1|
1920S|4624000|12|13|14|40|110|220|400|1500|-1|-1|
1921|246000|90|120|175|450|800|1400|2200|4750|-1|-1|
1921D|208000|175|200|300|500|1000|1800|2500|6500|-1|-1|
1921S|548000|25|35|110|450|2500|4400|7000|15000|-1|-1|
1923S|2178000|12|12|14|55|185|400|1000|1800|-1|-1|
1927S|2392000|12|12|12|25|70|200|600|1200|-1|-1|
1928S|1940000|12|12|15|35|75|220|600|1300|-1|-1|
1929D|1001200|12|12|13|15|45|140|225|400|-1|-1|
1929S|1902000|12|12|12|15|50|140|225|500|-1|-1|
1933S|1786000|12|12|12|15|30|140|320|650|-1|-1|
1934|6964000|12|12|12|12|12|14|40|50|-1|-1|
1934D|2361000|12|12|12|12|18|45|75|125|-1|-1|
1934S|3652000|12|12|12|12|15|60|175|450|-1|-1|
1935|9162000|12|12|12|12|12|14|25|40|-1|-1|
1935D|3003800|12|12|12|12|18|30|75|125|-1|-1|
1935S|3854000|12|12|12|12|18|60|125|235|-1|-1|
1936|12614000|12|12|12|12|12|13|27|40|1000|2000|3901
1936D|4252400|12|12|12|12|14|20|45|60|-1|-1|
1936S|3884000|12|12|12|12|14|22|75|90|-1|-1|
1937|9522000|12|12|12|12|12|13|22|35|280|700|5728
1937D|1676000|12|12|12|12|18|50|120|150|-1|-1|
1937S|2090000|12|12|12|12|14|32|85|120|-1|-1|
1938|4110000|12|12|12|12|13|25|35|65|225|450|8152
1938D|491600|40|50|70|80|95|140|275|350|-1|-1|
1939|6812000|12|12|12|12|12|13|22|35|200|300|8808
1939D|4267800|12|12|12|12|12|13|22|40|-1|-1|
1939S|2552000|12|12|12|12|14|35|70|90|-1|-1|
1940|9156000|-1|12|12|12|12|12|15|22|200|300|11279
1940S|4550000|-1|12|12|12|12|13|30|40|-1|-1|
1941|24192000|-1|12|12|12|12|12|16|30|200|300|15412
1941D|11248400|-1|12|12|12|12|13|18|35|-1|-1|
1941S|8098000|-1|12|12|12|12|15|32|55|-1|-1|
1942|47818000|-1|12|12|12|12|12|15|25|200|300|21120
1942D|10973800|-1|12|12|12|12|13|18|35|-1|-1|
1942S|12708000|-1|12|12|12|12|13|20|28|-1|-1|
1943|53190000|-1|12|12|12|12|12|15|21|-1|-1|
1943D|11346000|-1|12|12|12|12|13|22|32|-1|-1|
1943S|13450000|-1|12|12|12|12|13|20|35|-1|-1|
1944|28206000|-1|12|12|12|12|12|15|21|-1|-1|
1944D|9769000|-1|12|12|12|12|13|18|25|-1|-1|
1944S|8904000|-1|12|12|12|12|13|16|28|-1|-1|
1945|31502000|-1|12|12|12|12|12|15|21|-1|-1|
1945D|9966800|-1|12|12|12|12|13|15|22|-1|-1|
1945S|10156000|-1|12|12|12|12|13|15|25|-1|-1|
1946|12118000|-1|12|12|12|12|12|15|21|-1|-1|
1946D|2151000|-1|12|12|12|12|13|16|22|-1|-1|
1946S|3724000|-1|12|12|12|12|13|16|22|-1|-1|
1947|4094000|-1|12|12|12|12|12|16|22|-1|-1|
1947D|3900600|-1|12|12|12|12|13|16|22|-1|-1|
