YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|ADDITIONAL_INFO

1795|8707|13000|18000|23000|32000|40000|55000|125000|Small Eagle Reverse
1796,:6:Over:5|6196|15000|19000|30000|50000|65000|90000|175000|Small Eagle Reverse
1797,:15:Stars|3609|16500|21000|37500|75000|100000|150000|-1|Small Eagle Reverse
1797,:16:Stars|-1|16000|20000|34000|70000|90000|145000|-1|Small Eagle Reverse
1798|7|75000|150000|200000|250000|450000|-1|-1|Small Eagle Reverse

1795|-1|10000|15000|20000|35000|40000|65000|115000|Heraldic Eagle Reverse
1797,:7:Over:5|-1|8000|12000|22000|45000|50000|100000|-1|Heraldic Eagle Reverse
1798,:Large:8:-:13-Star:Reverse|24867|3000|4000|6000|8500|11000|20000|-1|Heraldic Eagle Reverse
1798,:Large:8:-:14-Star:Reverse|-1|3000|4250|8000|15000|20000|50000|-1|Heraldic Eagle Reverse
1799|7451|2500|3500|5500|9000|12000|18000|45000|Heraldic Eagle Reverse
1800|37628|2500|3500|5500|7500|8500|11000|23000|Heraldic Eagle Reverse

1802,:2:Over:1|53176|2500|3500|5500|7500|8500|11000|20000|Heraldic Eagle Reverse
1803,:3:Over:2|33506|2500|3500|5500|7500|8500|11000|22000|Heraldic Eagle Reverse
1804,:All:Kinds|30475|2500|3500|5500|7500|8500|11000|22000|Heraldic Eagle Reverse
1805|33183|2500|3500|5500|7500|8500|11000|22000|Heraldic Eagle Reverse
1806|64093|2500|3500|5500|7500|8500|11000|22000|Heraldic Eagle Reverse
1807|32488|2500|3500|5500|7500|8500|11000|22000|Heraldic Eagle Reverse
