YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|ADDITIONAL_INFO

1813|95428|2500|3000|4500|6500|7500|8500|15000|Large Diameter
1814,:4:Over:3|15454|3500|5000|6000|8500|10000|14000|24000|Large Diameter
1815|635|25000|40000|100000|150000|175000|225000|275000|Large Diameter
1818|48588|3500|5000|8500|11000|13000|16000|30000|Large Diameter
1819|51723|6500|12000|25000|35000|40000|50000|65000|Large Diameter
1820|263806|4000|5500|9500|11500|14000|16000|28000|Large Diameter
1821|34641|10000|15000|30000|50000|65000|90000|125000|Large Diameter
1822|17796|-1|-1|3000000|-1|-1|-1|-1|Large Diameter
1823|14485|3500|5000|10000|12000|15000|17500|30000|Large Diameter

1824|17340|4000|6000|24000|30000|35000|45000|65000|Large Diameter
1825,:5:Over:Partial:4|29060|4000|6000|20000|25000|30000|40000|60000|Large Diameter
1825,:5:Over:4|2|-1|-1|300000|-1|-1|-1|-1|Large Diameter
1826|18069|4000|6000|15000|20000|22500|30000|50000|Large Diameter
1827|24913|4500|7500|18000|20000|25000|40000|60000|Large Diameter
1828,:8:Over:7|5|15000|25000|50000|65000|75000|100000|300000|Large Diameter
1828|28029|4500|7500|18000|20000|25000|40000|60000|Large Diameter
1829,:Large:Date|57442|12500|25000|50000|65000|75000|85000|125000|Large Diameter

1829,:Small:Date|-1|25000|45000|60000|85000|100000|150000|200000|Reduced Diameter
1830|126351|10000|20000|30000|35000|40000|50000|70000|Reduced Diameter
1831|140594|10000|20000|30000|35000|40000|50000|70000|Reduced Diameter
1832,:Curved-Base:2:-:12:Stars|157487|30000|45000|65000|85000|-1|-1|-1|Reduced Diameter
1832,:Square-Base:2:-:13:Stars|-1|10000|20000|30000|35000|40000|50000|70000|Reduced Diameter
1833|193560|10000|20000|30000|35000|40000|50000|70000|Reduced Diameter
1834|50141|10000|20000|30000|35000|40000|50000|70000|Reduced Diameter
