YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren

1908|577845|400|405|425|435|475|1550|9000|167
1908D|148000|400|405|425|435|475|1550|-1|
1908S|82000|450|500|550|600|950|5000|-1|
1909|627060|400|405|425|435|475|1550|9000|78
1909D|3423560|400|405|425|435|475|1550|-1|
1909O|34200|2500|3750|6000|8500|20000|60000|-1|
1909S|297200|400|405|425|435|1000|8000|-1|
1910|604000|400|405|425|435|475|1550|9000|250
1910D|193600|400|405|425|435|475|2500|-1|
1910S|770200|400|405|425|450|650|5000|-1|
1911|915000|400|405|425|435|475|1550|9000|139
1911D|72500|425|650|950|1250|5000|35000|-1|
1911S|1416000|400|405|425|500|650|3500|-1|
1912|790000|400|405|425|435|475|1550|9000|144
1912S|392000|400|405|425|475|1100|10000|-1|
1913|915901|400|405|425|435|475|1550|9000|99
1913S|408000|400|405|425|550|1200|10000|-1|
1914|247000|400|405|425|435|475|1550|9000|125
1914D|247000|400|405|425|435|475|1750|-1|
1914S|263000|400|405|425|450|1000|10000|-1|
1915|588000|400|405|425|435|475|1500|9000|75
1915S|164000|400|405|425|435|1500|12500|-1|
1916S|240000|400|405|425|435|550|2500|-1|
1929|662000|6500|9500|10500|15000|17500|26500|-1|
