YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1839|118143|425|450|675|875|2500|16000|-1||Variety 1 - No Motto Above Eagle
1839C|17205|1250|2000|3500|5000|12500|37500|-1||Variety 1 - No Motto Above Eagle
1839D|18939|1500|3250|4750|6750|15000|-1|-1||Variety 1 - No Motto Above Eagle
1840|137382|400|415|750|950|2200|6750|-1||Variety 1 - No Motto Above Eagle
1840C|18992|1200|2000|3500|5000|12500|35000|-1||Variety 1 - No Motto Above Eagle
1840D|22896|1200|2000|4000|5500|10000|25000|-1||Variety 1 - No Motto Above Eagle
1840O|40120|400|415|1100|1500|6000|24000|-1||Variety 1 - No Motto Above Eagle
1841|15833|400|415|900|1100|3000|7000|-1||Variety 1 - No Motto Above Eagle
1841C|21467|1200|1700|2200|2600|8500|25000|-1||Variety 1 - No Motto Above Eagle
1841D|29392|1200|1750|2200|2600|8000|18000|-1||Variety 1 - No Motto Above Eagle
1842,:Small:Letters|27578|400|415|1350|1550|7500|12000|-1||Variety 1 - No Motto Above Eagle
1842,:Large:Letters|-1|525|1100|1850|2250|8250|13500|-1||Variety 1 - No Motto Above Eagle
1842C,:Small:Date|27432|5000|12500|20000|25000|50000|-1|-1||Variety 1 - No Motto Above Eagle
1842C,:Large:Date|-1|1200|1500|2200|2600|8500|23000|-1||Variety 1 - No Motto Above Eagle
1842D,:Small:Date|59608|1200|1600|2200|2600|8500|23000|-1||Variety 1 - No Motto Above Eagle
1842D,:Large:Date|-1|1750|4000|8500|12500|30000|-1|-1||Variety 1 - No Motto Above Eagle
1842O|16400|700|1500|5000|8000|13000|30000|-1||Variety 1 - No Motto Above Eagle
1843|611205|400|415|425|475|1350|7500|-1||Variety 1 - No Motto Above Eagle
1843C|44277|1100|1600|2500|3500|7000|22500|-1||Variety 1 - No Motto Above Eagle
1843D|98452|1300|1650|2000|2500|7000|15000|-1||Variety 1 - No Motto Above Eagle
1843O,:Small:Letters|19075|450|1000|1500|2000|11500|32500|-1||Variety 1 - No Motto Above Eagle
1843O,:Large:Letters|82000|425|875|1250|1850|7500|18000|-1||Variety 1 - No Motto Above Eagle
1844|340330|400|415|425|450|1500|6000|-1||Variety 1 - No Motto Above Eagle
1844C|23631|1300|2000|3500|4500|13500|25000|-1||Variety 1 - No Motto Above Eagle
1844D|88982|1100|1650|2000|2500|6000|17500|-1||Variety 1 - No Motto Above Eagle
1844O|364600|400|415|425|575|3250|10000|-1||Variety 1 - No Motto Above Eagle
1845|417099|400|415|425|450|1500|7000|-1||Variety 1 - No Motto Above Eagle
1845D|90629|1250|1700|2250|2750|6750|16000|-1||Variety 1 - No Motto Above Eagle
1845O|41000|450|550|1850|2500|6000|15000|-1||Variety 1 - No Motto Above Eagle
1846,:Large:Date|395942|400|415|425|500|1650|8500|-1||Variety 1 - No Motto Above Eagle
1846,:Small:Date|-1|400|415|425|450|1350|7500|-1||Variety 1 - No Motto Above Eagle
1846C|12995|1200|2000|3500|4750|1350|3750|-1||Variety 1 - No Motto Above Eagle
