YEAR|MINTAGE|AG-3|G-4|VG-8|F-12|VF-20|EF-40

1796|363375|40|70|150|300|900|2000
1796,:LIHERTY:Error|-1|80|135|325|550|1750|4250

1797,:All:Kinds|897510|-1|-1|-1|-1|-1|-1
1797,:Gripped:Edge:-:1796:Reverse|-1|25|65|125|225|425|1550
1797,:Plain:Edge:-:1796:Reverse|-1|25|65|125|230|450|1700
1797,:1797:Reverse:-:With:Stems|-1|20|50|100|150|235|825
1797,:1797:Reverse:-:Stemless|-1|25|65|125|250|650|2300

1798,:All:Kinds|1841745|-1|-1|-1|-1|-1|-1
1798,:8:Over:7|-1|25|65|135|225|800|2700
1798|-1|15|35|50|110|225|900
1799,:9:Over:8|-1|700|1400|2500|6000|16500|-1
1799,:Normal:Date|-1|650|1300|2200|5600|14500|-1
1800,:All:Kinds|2822175|-1|-1|-1|-1|-1|-1
1800,:1800:Over:1798|-1|13|28|55|115|500|1500
1800,:80:Over:79|-1|13|28|50|100|235|1100
1800,:Normal:Date|-1|13|28|50|100|225|1000

1801,:All:Kinds|1362837|-1|-1|-1|-1|-1|-1
1801,:Normal:Reverse|-1|12|22|30|75|200|525
1801,:3:Errors:-:1/000:-:One:Stem:-:and:IINITED|-1|25|65|120|325|1000|3200
1801,:Fraction:1/000|-1|12|27|40|120|225|825
1801,:1/100:Over:1/000|-1|13|28|42|125|275|950
1802,:All:Kinds|3435100|-1|-1|-1|-1|-1|-1
1802,:Normal:Reverse|-1|12|24|40|90|175|525
1802,:Fraction:1/000|-1|13|30|50|120|250|900
1802,:Stemless:Wreath|-1|12|24|40|90|175|525

1803,:All:Kinds|3131691|-1|-1|-1|-1|-1|-1
1803,:Small:Date:-:Small:Fraction|-1|12|24|40|80|175|525
1803,:Small:Date:-:Large:Fraction|-1|12|24|40|80|175|525
1803,:Large:Date:-:Small:Fraction|-1|1000|2300|4000|8250|15000|-1
1803,:Large:Date:-:Large:Fraction|-1|18|33|80|150|425|1400
1803,:1/100:Over:1/000|-1|12|27|50|100|225|700
1803,:Stemless:Wreath|-1|12|27|50|100|225|700

1804|96500|350|750|1200|2400|3250|7000
1805|941116|12|24|40|80|175|500
1806|348000|12|27|50|95|225|875

1807,:All:Kinds|829221|-1|-1|-1|-1|-1|-1
1807,:Small:7:Over:6:-:Blunt:1|-1|410|1200|2200|4500|8200|17000
1807,:Large:7:Over:6|-1|12|24|35|70|175|550
1807,:Small:Fraction|-1|12|24|35|70|225|600
1807,:Large:Fraction|-1|12|24|35|70|200|500
