YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|ADDITIONAL_INFO

1816|2820982|8|11|16|32|70|125|250|375|Matron Head
1817,:13:Stars|3948400|8|10|14|27|50|100|200|350|Matron Head
1817,:15:Stars|-1|11|13|18|60|275|400|1200|-1|Matron Head
1818|3167000|8|10|14|27|50|90|225|325|Matron Head

1819|2671000|9|11|15|27|55|125|185|350|Matron Head
1819,:9:Over:8|-1|10|13|18|36|150|175|300|550|Matron Head
1820|4407550|8|10|13|30|60|100|200|350|Matron Head
1820,:20:Over:19|-1|10|13|18|45|150|200|500|700|Matron Head
1821|389000|16|27|60|185|500|1000|3600|-1|Matron Head
1822|2072339|9|12|22|50|100|275|475|775|Matron Head

1823,:3:Over:2|-1|27|50|150|300|1000|1900|3400|-1|Matron Head
1823,:Normal:Date|-1|30|55|175|425|1400|3000|5000|-1|Matron Head
1824,:4:Over:2|-1|10|18|40|150|550|1200|2500|3750|Matron Head
1824,:Normal:Date|1262000|8|10|16|75|210|350|950|1600|Matron Head
1825|1461100|8|10|16|45|150|250|800|1100|Matron Head
1826,:6:Over:5|1517425|12|17|37|110|425|600|1200|2300|Matron Head
1826,:Normal:Date|-1|8|10|12|45|110|190|400|650|Matron Head
1827|2357732|8|10|12|40|80|150|300|600|Matron Head

1828,:Large:Narrow:Date|2260624|8|10|14|40|70|150|400|700|Matron Head
1828,:Small:Wide:Date|-1|8|10|16|50|100|200|550|1200|Matron Head
1829|1414500|8|10|13|40|70|110|250|525|Matron Head
1830|1711500|8|10|13|30|60|100|200|400|Matron Head
1831|3359260|7|9|12|22|50|100|200|350|Matron Head
1832|2362000|7|9|12|22|50|80|175|325|Matron Head
1833|2739000|7|9|12|22|50|80|175|325|Matron Head
1834|1855100|7|9|12|22|70|100|200|350|Matron Head
1835|3878400|7|9|12|22|65|90|200|350|Matron Head

1836|2111000|7|9|12|22|55|85|160|275|Braided Hair
1837|5558300|7|9|12|22|65|90|160|240|Braided Hair
1838|6370200|7|9|12|22|30|85|150|240|Braided Hair
1839|3128661|7|9|12|22|40|80|150|210|Braided Hair
1839,:1839:Over:1836:-:Plain:Cords|-1|110|275|550|1250|3500|7000|-1|-1|Braided Hair
1840|2462700|7|9|12|18|40|75|150|275|Braided Hair
1841|1597367|7|9|12|18|40|75|150|275|Braided Hair
1842|2383390|7|9|12|18|40|75|150|275|Braided Hair

1843,:Petite:-:Small:Letters|2425342|7|9|12|20|30|60|145|185|Braided Hair
1843,:Petite:-:Large:Letters|-1|9|11|20|35|70|125|325|600|Braided Hair
1843,:Mature:-:Large:Letters|-1|8|10|16|25|50|90|160|400|Braided Hair
1844,:Normal:Date|2398752|7|9|12|20|32|65|120|175|Braided Hair
1844,:44:Over:81|-1|10|13|20|40|110|235|550|1250|Braided Hair
1845|3894804|7|9|12|20|30|70|125|175|Braided Hair
1846|4120800|7|9|12|20|30|70|125|175|Braided Hair
1847|6183669|7|9|12|20|30|70|125|175|Braided Hair
1847,:7:Over:Small:7|-1|8|11|17|30|65|160|525|1000|Braided Hair

1848|6415799|7|9|12|18|30|70|110|150|Braided Hair
1849|4178500|7|9|12|18|30|70|125|190|Braided Hair
1850|4426844|7|9|12|18|30|70|100|125|Braided Hair

1851,:Normal:Date|9889707|7|9|12|18|30|70|100|150|Braided Hair
1851,:51:Over:81|-1|9|11|18|28|70|110|250|450|Braided Hair
1852|5063094|7|9|12|18|30|70|100|125|Braided Hair
1853|6641131|7|9|12|18|30|70|100|125|Braided Hair
1854|4236156|7|9|12|18|30|70|100|125|Braided Hair

1855,:All:Kinds|1574829|-1|-1|-1|-1|-1|-1|-1|-1|Braided Hair
1855,:Upright:5's|-1|7|9|12|18|30|70|100|125|Braided Hair
1855,:Slanting:5's|-1|7|9|12|18|30|70|115|160|Braided Hair
1855,:Slanting:5's:-:Knob:on:Ear|-1|7|10|14|22|40|90|160|250|Braided Hair
1856,:Upright:5|2690463|7|9|12|18|30|70|100|150|Braided Hair
1856,:Slanting:5|-1|7|9|12|18|30|70|100|150|Braided Hair

1857,:Large:Date|333546|16|25|30|35|50|120|200|325|Braided Hair
1857,:Small:Date|-1|17|27|35|40|55|130|220|350|Braided Hair
