YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO


1913,:Variety:1|30992000|4|5|6|8|12|14|22|32|700|1520|Variety 1 - FIVE CENTS on Raised Ground
1913D,:Variety:1|5337000|6|8|10|15|20|25|35|45|-1||Variety 1 - FIVE CENTS on Raised Ground
1913S,:Variety:1|2105000|17|22|24|30|42|55|75|95|-1||Variety 1 - FIVE CENTS on Raised Ground

1913,:Variety:2|29857186|4.25|5.5|6.5|7.5|11|15|22|32|650|1514|Variety 2 - FIVE CENTS in Recess
1913D,:Variety:2|4156000|50|60|75|90|120|140|150|175|-1||Variety 2 - FIVE CENTS in Recess
1913S,:Variety:2|1209000|150|165|210|240|325|375|500|700|-1||Variety 2 - FIVE CENTS in Recess
1914|20664463|10|11|12|14|16|22|35|50|675|1275|Variety 2 - FIVE CENTS in Recess

1914D|3912000|35|50|65|100|150|200|235|325|-1||Variety 2 - FIVE CENTS in Recess
1914S|3470000|12|14|18|35|50|80|100|240|-1||Variety 2 - FIVE CENTS in Recess
1915|20986220|2.5|3|4|5|12|30|45|50|675|1050|Variety 2 - FIVE CENTS in Recess
1915D|7569000|8|11|18|35|75|85|140|175|-1||Variety 2 - FIVE CENTS in Recess
1915S|1505000|19|25|40|72|150|185|275|425|-1||Variety 2 - FIVE CENTS in Recess
1916|63497466|2|2.5|3|3.5|5|10|28|35|700|600|Variety 2 - FIVE CENTS in Recess
1916,:DblDie:Obv|0|1000|1800|3600|5600|8500|14000|30000|70000|-1||Variety 2 - FIVE CENTS in Recess
1916D|13333000|6.5|10|11|22|45|60|90|135|-1||Variety 2 - FIVE CENTS in Recess
1916S|11860000|4|6|9|22|45|65|100|165|-1||Variety 2 - FIVE CENTS in Recess
1917|51424019|2|2.5|3|4|7|16|30|60|-1||Variety 2 - FIVE CENTS in Recess
1917D|9910000|7|12|18|42|75|110|175|350|-1||Variety 2 - FIVE CENTS in Recess
1917S|4193000|9|13|20|50|85|135|225|600|-1||Variety 2 - FIVE CENTS in Recess
1918|32086314|1.5|2|2.5|6|16|22|60|135|-1||Variety 2 - FIVE CENTS in Recess

1918D,:8:Over:7|0|550|650|1300|2500|4500|6000|15000|32000|-1||Variety 2 - FIVE CENTS in Recess
1918D|8362000|8|14|18|70|130|175|235|600|-1||Variety 2 - FIVE CENTS in Recess
1918S|4882000|5|12|16|45|90|150|210|1200|-1||Variety 2 - FIVE CENTS in Recess
1919|60868000|.5|.55|.8|2|7|15|32|60|-1||Variety 2 - FIVE CENTS in Recess
1919D|8006000|6|10|30|70|130|160|325|750|-1||Variety 2 - FIVE CENTS in Recess
1919S|7521000|4|8|17|60|130|160|325|900|-1||Variety 2 - FIVE CENTS in Recess
1920|63093000|.45|.6|1.25|2.5|6|15|32|70|-1||Variety 2 - FIVE CENTS in Recess
1920D|9418000|3|6|12|65|150|175|275|800|-1||Variety 2 - FIVE CENTS in Recess
1920S|9689000|1.5|4|10|50|120|150|275|900|-1||Variety 2 - FIVE CENTS in Recess
1921|10663000|.8|2|3|10|25|35|70|140|-1||Variety 2 - FIVE CENTS in Recess
