YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO

1938|19496000|.10|.12|.20|.25|1.1|5|55|19365|
1938D|5376000|.25|.35|.75|1|2.25|7|-1||
1938S|4105000|.4|.6|.85|1.5|2.75|8|-1||
1939|120615000|.08|.1|.12|.25|1|2|55|12535|
1939D|3514000|1.2|1.6|2.5|4|35|50|-1||
1939S|6630000|.25|.35|.50|1.35|12|30|-1||
1940|176485000|.05|.05|.05|.1|1|2|50|14158|
1940D|43540000|.05|.05|.05|.1|1.25|3.5|-1||
1940S|39690000|.05|.05|.05|.1|1.25|3.5|-1||
1941|203265000|.05|.05|.05|.1|.5|2|45|18720|
1941D|53432000|.05|.05|.05|.1|1.25|3|-1||
1941S|43445000|.05|.05|.05|.1|1.5|3.5|-1||
1942|49789000|.05|.05|.05|.1|1.25|4|45|29600|
1942D|13938000|.10|.15|.25|1|16|23|-1||

1942P|57873000|1.8|1.8|1.8|2|4|8|110|27600|Wartime Silver Alloy
1942S|32900000|1.8|1.8|1.8|2|4|9|-1||Wartime Silver Alloy
1943P,:3:Over:2|0|-1|15|20|38|130|320|-1||Wartime Silver Alloy
1943P|271165000|1.8|1.8|1.8|2|3|6|-1||Wartime Silver Alloy
1943D|15294000|1.8|1.8|1.8|2|5|7|-1||Wartime Silver Alloy
1943S|104060000|1.8|1.8|1.8|2|3|6|-1||Wartime Silver Alloy
1944P|119150000|1.8|1.8|1.8|2|5|8.5|-1||Wartime Silver Alloy
1944D|32309000|1.8|1.8|1.8|2|5|8|-1||Wartime Silver Alloy
1944S|21640000|1.8|1.8|1.8|2|4|8|-1||Wartime Silver Alloy
1945P|119408100|1.8|1.8|1.8|2|3|8|-1||Wartime Silver Alloy
1945D|37158000|1.8|1.8|1.8|2|3|7|-1||Wartime Silver Alloy
1945S|58939000|1.8|1.8|1.8|2|3|7|-1||Wartime Silver Alloy

1946|161116000|-1|-1|.05|.05|.6|2|-1|-1|Prewar Composition, Mintmark Style Resumed
1946D|45292200|-1|-1|.05|.05|.6|2|-1|-1|Prewar Composition, Mintmark Style Resumed
1946S|13560000|-1|-1|.05|.05|.6|2|-1|-1|Prewar Composition, Mintmark Style Resumed

1947|95000000|-1|-1|.05|.05|.35|1.75|-1|-1|Prewar Composition, Mintmark Style Resumed
