YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren

1883,:Without:CENTS|5474300|2.35|3|3.25|4|5|6.25|18|26|165|5219
1883,:CENTS|16026200|7|9|13|21|35|45|75|100|140|6783
1884|11270000|8|12|14|21|35|50|100|130|130|3942
1885|1472700|230|275|325|450|600|800|1000|1300|700|3790
1886|3326000|100|125|200|250|310|395|475|1000|375|4290
1887|15260692|4|7|11|20|40|45|75|110|125|2960
1888|10167901|10|15|25|50|65|90|135|190|125|4582
1889|15878025|4|5|11|20|35|50|75|125|125|3336
1890|16256532|2.5|4|10|15|25|30|75|125|125|2740
1891|16832000|2.5|4|10|15|25|30|75|125|125|2350
1892|11696897|2.5|4|10|15|25|30|75|125|125|2745
1893|13368000|2.4|4|10|15|30|35|80|135|125|2195
1894|5410500|6|10|40|75|115|150|180|210|125|2632
1895|9977822|1.5|2.5|7|10|25|30|75|130|125|2062
1896|8841058|2|5|15|20|35|50|90|140|125|1862
1897|20426797|2|5|9|12|22|24|50|125|125|1938
1898|12530292|2|5|9|12|22|24|50|125|125|1795
1899|26027000|.75|1|3|6|14|22|50|100|125|2031
1900|27253733|.75|1|3|6|14|21|40|80|120|2262
1901|26478228|.75|1|3|6|14|21|40|80|120|1985
1902|31487561|.75|1|3|6|14|21|40|80|120|2018
1903|28004935|.75|1|2|4|12|21|40|80|120|1790
1904|21403167|.75|1|2|4|12|21|40|80|120|1817
1905|29825124|.75|1|2|4|12|21|40|80|120|2152
1906|38612000|.75|1|2|4|12|21|40|80|120|1725
1907|39213325|.75|1|2|4|12|21|40|80|120|1475
1908|22684557|.75|1|2|4|12|21|40|80|120|1620

1909|11585763|.75|1|2|4|12|21|45|95|120|4763
1910|30166948|.75|1|2|4|12|21|40|80|120|2405
1911|39557639|.75|1|2|4|12|21|40|80|120|1733
1912|26234569|.75|1|2|4|12|21|40|80|120|2145
1912D|8474000|1|1.5|4|13|35|85|135|160|-1|-1
1912S|238000|65|100|125|225|425|650|800|975|-1|-1
1913|5|-1|-1|-1|-1|-1|-1|-1|2000000|-1|-1
