YEAR|MINTAGE|G-4|VG-8|F-12|EF-40|AU-50|MS-60|MS-63|PF-63|Paren

1866,:Rays|14742500|13|19|22|85|110|125|200|1250|600
1867,:Rays|2019000|15|22|27|90|125|225|275|16000|25
1867,:Without:Rays|28890500|9|10|11|20|25|70|120|200|600
1868|28817000|9|10|11|20|25|70|120|200|600
1869|16395000|9|10|11|20|25|70|120|200|600
1870|4806000|9|10|11|20|25|70|120|200|1000
1871|561000|25|30|50|100|135|180|250|225|960
1872|6036000|10|11|13|24|50|90|125|200|950
1873,:Close:3|436050|10|11|13|30|55|100|175|200|1100
1873,:Open:3|4113950|9|10|11|25|50|90|125|-1|-1
1874|3538000|10|11|13|24|50|90|130|200|700
1875|2097000|12|14|20|40|55|100|140|225|700
1876|2530000|12|14|20|40|55|100|120|200|1150
1877|-1|-1|-1|425|900|-1|-1|-1|1500|900
1878|-1|-1|-1|300|500|-1|-1|-1|950|2350
1879|25900|180|225|275|325|350|400|475|400|3200
1880|16000|190|240|290|500|800|1600|2500|450|3955
1881|68800|125|150|175|250|275|350|450|300|3575
1882|11472900|8|9|10|19|25|60|100|175|3100
1883|1451500|8|9|10|19|25|65|100|180|5419
1883,:3:Over:2|-1|50|110|200|300|400|500|650|-1|-1
