YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60

1821|6448|4000|5500|7500|10000|14000|23500
1824,:4:Over:1|2600|4000|5500|7500|9500|13000|22500
1825|4434|4500|6000|7500|9500|13000|20000
1826,:6:Over:6|760|4500|6000|8000|10000|14000|28500
1827|2800|4000|6000|8500|10000|15000|22000
1829|3403|3500|4500|5500|8500|10000|14000
1830|4540|3500|4500|5500|8500|10000|14000
1831|4520|3500|4500|5500|8500|10000|14000
1832|4400|3500|4500|5500|8500|10000|14000
1833|4160|3500|4500|5500|8500|10000|14000
1834,:With:Motto|4000|5500|7500|10000|16500|21500|35000
