YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60

1796,:No:Stars:on:Obverse|963|35000|50000|65000|85000|100000|160000
1796,:Stars:on:Obverse|432|26500|35000|50000|75000|95000|135000
1797|427|10000|15000|25000|35000|45000|100000
1798|1094|3000|5000|9000|16500|21000|50000
1802,:2:Over:1|3035|3000|5000|9000|14500|16500|25000
1804,:13-Star:Reverse|-1|25000|40000|85000|150000|175000|275000
1804,:14-Star:Reverse|3327|3000|5000|8500|12500|15000|24000
1805|1781|3000|5000|8500|12500|15000|24000
1806,:6/4:-:8:Stars:Left:-:5:Right|1136|3500|5500|8500|12500|15000|24000
1806,:6/5:-:7:Stars:Left:-:6:Right|480|4500|6500|10000|15000|25000|50000
1807|6812|3000|5000|8500|12500|15000|24000
