YEAR|MINTAGE|F-12|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63

1834,:No:Motto|112234|225|375|600|925|1100|2750|7500
1835|131402|250|375|600|925|1100|2750|7750
1836|547986|225|375|600|925|1100|2750|7500
1837|45080|275|500|750|950|1150|3000|10500
1838|47030|250|450|650|1000|1100|2750|7500
1838C|7880|900|1350|2500|5750|8000|19500|32500
1839|27021|375|575|800|1150|1400|3500|13500
1839C|18140|950|1500|3500|4250|6500|17500|32500
1839D|13674|1100|1600|3750|5500|8000|22000|38500
1839O|17781|375|675|1100|1850|2200|5000|20000
