YEAR|MINTAGE|VF-20|EF-40|AU-50|MS-60|MS-63|MS-64|PF-63|Paren
1908|564821|250|275|300|325|800|1350|7500|236
1909|441760|250|275|300|325|1200|2250|7500|139
1910|492000|250|275|300|325|1100|2250|7500|682
1911|704000|250|275|300|325|900|1250|7500|191
1911D|55680|2500|3250|3750|6500|15000|22500|-1|
1912|616000|250|275|300|325|1200|2500|7500|197
1913|722000|250|275|300|325|900|1500|7500|165
1914|240000|250|275|300|450|3750|8500|7500|117
1914D|448000|250|275|300|350|1200|3000|-1|
1915|606000|250|275|300|325|850|1350|8500|100
1925D|578000|250|275|300|325|750|1250|-1|
1926|446000|250|275|300|325|750|1250|-1|
1927|388000|250|275|300|325|750|1250|-1|
1928|416000|250|275|300|325|750|1250|-1|
1929|532000|250|275|300|325|750|1250|-1|
