YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren

1840|18859|275|500|1600|2000|4000|8000|-1|
1840C|12822|1000|1500|2250|2750|7500|20000|-1|
1840D|3532|1850|4500|6500|8500|22000|-1|-1|
1840O|33580|275|500|1250|1500|6500|18000|-1|

1841|-1|40000|75000|95000|125000|-1|-1|-1|
1841C|10281|1000|1350|2250|2750|10000|32000|-1|
1841D|4164|1550|3000|6000|7500|15000|35000|-1|
1842|2823|850|2000|4000|5500|12500|30000|-1|
1842C|6729|1550|2250|4500|6250|15000|32500|-1|
1842D|4643|1500|3000|6500|8250|25000|55000|-1|
1842O|19800|275|650|1500|2200|6500|20000|-1|
1843|100546|275|300|500|750|1500|4500|-1|
1843C|26064|1000|1250|2000|3250|5500|13500|-1|
1843D|36209|1000|1500|1800|2500|4500|20000|-1|
1843O|364002|275|300|325|375|1000|4500|-1|
1844|6784|275|500|1350|1800|5000|15000|-1|
1844C|11622|1000|1500|3500|4500|12000|32500|-1|
1844D|17332|1200|1350|2000|2500|4500|18000|-1|
1845|91051|275|300|315|450|750|3500|-1|
1845D|19460|1100|1350|2000|3000|6500|25000|-1|
1845O|4000|650|1500|5500|7750|13500|34500|-1|
1846|21598|275|300|500|750|3500|15000|-1|
1846C|4808|1200|2000|3500|5500|12500|23500|-1|
1846D|62000|1250|1850|2500|3500|6500|20000|-1|
1846O|29814|275|300|500|650|2200|5500|-1|
1847|29814|275|300|500|650|2200|5500|-1|
1847C|23226|1000|1350|2000|3000|4500|10000|-1|
1847D|15784|1100|1500|2000|3000|5500|15000|-1|
1847O|124000|275|300|750|1250|3000|13500|-1|
1848|6500|375|550|1250|1450|3500|10000|-1|

1848C|16788|900|1450|2250|3000|8500|26000|-1|
1848D|13771|1000|1500|2350|2750|6500|23500|-1|
1849|23294|275|300|550|650|1500|4750|-1|
1849C|10220|950|1450|3250|4250|12500|35000|-1|
1849D|10945|1000|1500|2250|2850|9500|26000|-1|
1850|252923|275|300|325|375|675|2500|-1|
1850C|9148|950|1350|2250|2750|7000|26000|-1|
1850D|12148|1000|1500|2350|2850|10500|30000|-1|

1850O|84000|275|300|700|850|2750|10000|-1|
1851|1372748|275|300|315|325|400|900|-1|
1851C|14923|1000|1450|2200|2500|6000|21000|-1|
1851D|11264|1100|1600|2400|2750|6750|25000|-1|
1851O|148000|275|325|500|650|2500|9500|-1|
1852|1159681|275|300|315|325|400|925|-1|
1852C|9772|950|1500|2750|3250|9500|23500|-1|
1852D|4078|1000|2000|4500|5500|10000|32000|-1|
1852O|140000|275|300|550|750|3000|7500|-1|
1853|1404668|275|300|315|325|400|900|-1|
1853D|3178|1350|2250|3500|4200|9000|35000|-1|
1854|596278|275|300|315|325|400|950|-1|
1854C|7295|950|1500|3000|4500|7500|25000|-1|
1854D|1760|2250|4750|7500|9500|17500|50000|-1|
1854O|153000|300|325|350|400|1000|6000|-1|
1854S|246|100000|150000|250000|-1|-1|-1|-1|
1855|235480|275|300|315|325|400|1000|-1|
1855C|3677|1100|2000|3000|3500|14500|30000|-1|
1855D|1123|2250|5000|8500|11000|35000|60000|-1|
1856|384240|275|300|315|325|400|900|45000|-1
1856C|7913|950|1850|2500|3000|8500|22000|-1|
1856D|874|4500|8500|22500|27500|50000|95000|-1|
