YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren
1892|8236000|7|8|10|15|30|50|115|175|350|1245
1892O|2460000|8|9|12|20|40|60|160|210|-1|
1892S|964079|15|25|35|50|85|130|210|450|-1|
1893|5444023|7|8|10|15|30|50|115|165|350|792
1893O|3396000|7|8|11|16|35|60|160|300|-1|
1893S|1454535|9|12|25|45|75|130|200|500|-1|
1894|3432000|7|8|12|15|30|60|110|200|350|972
1894O|2852000|7|8|15|20|35|90|160|300|-1|
1894S|2648821|7|8|11|20|35|90|160|300|-1|
1895|4440000|7|8|10|15|30|60|110|200|350|880
1895O|2816000|7|8.50|15|27|45|90|185|400|-1|
1895S|1764681|9|13|30|50|65|120|225|450|-1|
1896|3874000|7|8|10|15|32|60|125|200|350|762
1896O|1484000|15|25|70|140|225|350|475|875|-1|
1896S|188039|425|700|900|1500|2000|2900|4000|8250|-1|
1897|8140000|7|7.25|10|15|32|55|100|175|350|731
1897O|1414800|9|15|60|140|175|275|425|750|-1|
1897S|542229|30|45|110|150|200|325|450|750|-1|
1898|11100000|7|7.25|11|15|35|55|95|150|350|735
1898O|1868000|8|10|25|55|110|150|300|650|-1|
1898S|1020592|7.50|9|18|20|35|90|200|600|-1|
1899|12624000|7|7.25|10|15|30|50|90|150|350|846
1899O|2644000|7.50|8|10|16|32|100|200|400|-1|
1899S|708000|8|14|18|35|45|125|225|550|-1|
1900|10016000|7|7.25|10|15|30|60|90|150|350|912
1900O|3416000|8|10|20|30|50|150|250|400|-1|
1900S|1858585|7|7.25|11|16|30|50|175|450|-1|
1901|8892000|7|7.25|9|15|30|60|100|150|350|813
1901O|1612000|20|30|70|110|175|250|400|900|-1|
1901S|72664|2800|6000|8000|10000|14000|16000|19000|25000|-1|
1902|12196967|7|7.25|8|15|30|50|95|150|350|777
1902O|4748000|7|7.50|5|30|60|100|200|625|-1|
1902S|1524612|8|9|20|35|65|110|220|475|-1|
1903|9759309|7|7.25|8|15|30|50|90|175|350|755
1903O|3500000|7|7.50|11|20|32|100|150|600|-1|
1903S|1036000|8|9|15|30|50|100|210|400|-1|
1904|9588143|7|7.25|8|15|30|55|90|150|350|670
1904O|2456000|7|7.25|16|30|90|175|350|600|-1|
1905|4967523|7|7.25|8.50|15|30|60|100|200|350|727
1905O|1230000|8|15|40|75|110|160|200|550|-1|
1905S|1844000|7|8|18|25|42|90|175|500|-1|
1906|3655760|7|7.25|9|15|30|50|90|150|350|675
1906D|3280000|7|7.25|9|15|30|60|110|200|-1|
1906O|2056000|7|7.25|12|18|35|90|135|250|-1|
1907|7132000|7|7.25|8|15|30|50|90|175|350|575
1907D|2484000|7|7.25|9|15|30|60|125|350|-1|
1907O|4560000|7|7.25|8|15|30|55|100|250|-1|
1907S|1360000|7.25|7.75|16|26|55|110|225|420|-1|
1908|4232000|7|7.25|8|15|30|50|110|200|350|545
1908D|5788000|7|7.25|8|15|30|50|110|200|-1|
1908O|6244000|7|7.25|8|15|30|50|110|200|-1|
1908S|784000|8|15|65|70|150|200|350|550|-1|
1909|9268000|7|7.25|8|15|30|50|90|175|350|650
1909D|5114000|7|7.25|8|15|30|60|110|160|-1|
1909O|712000|10|25|65|125|185|350|500|900|-1|
1909S|1348000|7|7.25|13|19|40|90|150|350|-1|
1910|2244000|7|7.25|8|15|30|60|90|150|350|551
1910D|1500000|7|7.25|15|18|30|110|175|400|-1|
1911|3720000|7|7.25|8|15|30|50|90|150|350|543
1911D|933600|7|7.25|30|90|130|225|325|600|-1|
1911S|988000|7|7.25|18|30|60|120|175|350|-1|
1912|4400000|7|7.25|8|15|30|50|90|150|375|700
1912S|708000|7|7.75|16|20|40|100|175|400|-1|
1913|484000|8|10|25|67|185|210|550|600|400|613
1913D|1450800|7|7.50|12|17|35|75|140|185|-1|
1913S|40000|750|1000|2200|3200|4500|5200|6000|8500|-1|
1914|6244230|7|7.25|8|15|30|50|90|150|400|380
1914D|3046000|7|7.25|8|15|30|50|90|150|-1|
1914S|264000|35|60|125|200|325|400|500|700|-1|
1915|3480000|7|7.25|8|15|30|50|90|150|400|450
1915D|3694000|7|7.25|8|15|30|50|90|150|-1|
1915S|704000|7|7.25|12|20|35|90|125|200|-1|
1916|1788000|7|7.25|8|15|30|50|90|150|-1|
1916D|6540800|7|7.25|8|15|30|50|90|150|-1|
