YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65|Paren|ADDITIONAL_INFO

1932|5404000|5.5|5.5|6|7|-1|13|23|200|-1||Silver Coinage
1932D|436800|75|90|120|175|-1|550|1000|7500|-1||Silver Coinage
1932S|408000|75|90|100|130|-1|275|500|2300|-1||Silver Coinage
1934|31912052|6|6|6|6.5|-1|9|17|45|-1||Silver Coinage
1934D|3527200|6|6|7|12|-1|100|175|625|-1||Silver Coinage
1935|32484000|6|6|6|6.5|-1|8|15|45|-1||Silver Coinage
1935D|5780000|6|6|6.5|8|-1|100|140|400|-1||Silver Coinage
1935S|5660000|6|6|6|6.5|-1|40|60|140|-1||Silver Coinage
1936|41300000|6|6|6|6.5|-1|9|16|40|850|3837|Silver Coinage
1936D|5374000|6|6|6|20|-1|180|350|625|-1||Silver Coinage
1936S|3828000|6|6|6|7|-1|40|75|200|-1||Silver Coinage
1937|19696000|6|6|6|6.5|-1|8|15|48|300|5542|Silver Coinage
1937D|7189600|6|6|6|7|-1|25|45|70|-1||Silver Coinage
1937S|1652000|6|6|7.5|15|-1|70|100|150|-1||Silver Coinage
1938|94720000|6|6|6|6.5|-1|30|50|120|160|8045|Silver Coinage
1938S|2832000|6|6|6|7|-1|35|60|125|-1||Silver Coinage
1939|33540000|6|6|6|6.5|-1|7|12|25|140|8795|Silver Coinage
1939D|7092000|6|6|6|6.5|-1|14|20|50|-1||Silver Coinage
1939S|2628000|6|6|6|8|-1|45|65|150|-1||Silver Coinage

1940|35704000|-1|6|6|6|-1|7|12|30|100|11246|Silver Coinage
1940D|2797600|-1|6|6|9|-1|50|80|140|-1||Silver Coinage
1940S|8244000|-1|6|6|6|-1|10|13|25|-1||Silver Coinage
1941|79032000|-1|6|6|6|-1|6.5|7|20|65|15287|Silver Coinage
1941D|16714800|-1|6|6|7|-1|12|22|25|-1||Silver Coinage
