YEAR|MINTAGE|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|PF-60|PF-63|Paren|ADDITIONAL_INFO

1840|61005|160|175|200|350|500|1800|8250|17000||Variety 1 - No Motto
1841|173000|125|150|175|285|420|1150|8500|24000||Variety 1 - No Motto
1842|184618|125|150|175|285|420|1000|8500|20000||Variety 1 - No Motto
1843|165100|125|150|175|285|420|1000|8500|20000||Variety 1 - No Motto
1844|20000|130|175|200|325|600|1600|7000|19000||Variety 1 - No Motto
1845|24500|140|185|225|350|675|4750|8000|19000||Variety 1 - No Motto
1846|110600|125|150|175|285|420|1000|6500|18000||Variety 1 - No Motto
1846O|59000|150|200|225|325|600|2800|-1|-1||Variety 1 - No Motto
1847|140750|125|150|175|285|420|1000|8250|16500||Variety 1 - No Motto
1848|15000|225|285|375|525|900|2100|8250|19000||Variety 1 - No Motto
1849|62600|125|150|175|285|375|1100|9500|20000||Variety 1 - No Motto
1850|7500|325|350|550|875|1300|3000|8750|16000||Variety 1 - No Motto
1850O|40000|170|325|400|825|1750|7100|-1|-1||Variety 1 - No Motto
1851|1300|3000|4750|6500|9000|14000|18000|16000|21500||Variety 1 - No Motto
1852|1100|2750|4750|6500|8750|14000|17000|17500|23000||Variety 1 - No Motto
1853|46110|140|185|235|370|780|1500|13000|23000||Variety 1 - No Motto
1854|33140|825|1300|1600|2500|4000|5200|7500|12000||Variety 1 - No Motto
1855|26000|600|800|1250|2000|3100|5200|7500|13000||Variety 1 - No Motto
1856|63500|225|300|375|800|1400|2800|3750|10000||Variety 1 - No Motto
1857|94000|225|300|375|800|1200|1900|3100|5000||Variety 1 - No Motto
1858|-1|1900|2250|2800|3500|4500|-1|5500|8000|300|Variety 1 - No Motto
1859|255700|160|225|275|350|500|1400|1300|2800|800|Variety 1 - No Motto
1859O|360000|125|150|175|285|420|750|-1|-1||Variety 1 - No Motto
1859S|20000|200|285|370|1100|2500|8500|-1|-1||Variety 1 - No Motto
1860|217600|130|175|230|325|450|775|1100|2300|1330|Variety 1 - No Motto
1860O|515000|125|150|175|285|420|700|-1|-1||Variety 1 - No Motto
1861|77500|325|450|575|700|1350|1850|1100|2300|1000|Variety 1 - No Motto
1862|11540|290|385|490|675|1250|1850|1100|2400|550|Variety 1 - No Motto
1863|27200|220|255|275|375|800|1700|1100|2400|460|Variety 1 - No Motto
1864|30700|135|185|300|400|800|2000|1100|2400|470|Variety 1 - No Motto
1865|46500|135|185|300|400|800|1800|1100|2400|500|Variety 1 - No Motto

1866|48900|140|185|235|350|675|1200|850|1900|725|Variety 2 - With Motto IN GOD WE TRUST
1867|46900|140|175|235|325|575|1200|850|1900|625|Variety 2 - With Motto IN GOD WE TRUST
1868|162100|125|160|220|260|525|1000|850|1900|600|Variety 2 - With Motto IN GOD WE TRUST
1869|423700|125|160|200|260|475|975|850|1900|600|Variety 2 - With Motto IN GOD WE TRUST

1870|415000|130|160|180|250|375|875|850|1900|1000|Variety 2 - With Motto IN GOD WE TRUST
1870CC|11758|300|400|600|950|2300|7500|-1|-1||Variety 2 - With Motto IN GOD WE TRUST
1870S|0|-1|100000|200000|300000|500000|700000|-1|-1||Variety 2 - With Motto IN GOD WE TRUST
1871|1073800|130|160|185|250|400|800|850|1900|960|Variety 2 - With Motto IN GOD WE TRUST
1871CC|1376|1400|2200|3000|6000|14000|37000|-1|-1||Variety 2 - With Motto IN GOD WE TRUST
1872|1105500|130|160|185|250|400|800|850|1900|950|Variety 2 - With Motto IN GOD WE TRUST
1872CC|3150|775|1200|1800|3000|7000|15000|-1|-1||Variety 2 - With Motto IN GOD WE TRUST
1872S|9000|200|275|375|900|1700|5500|-1|-1||Variety 2 - With Motto IN GOD WE TRUST
1873|293000|150|180|200|300|475|975|850|1900|600|Variety 2 - With Motto IN GOD WE TRUST
1873CC|2300|2750|4000|6500|10000|17500|50000|-1|-1||Variety 2 - With Motto IN GOD WE TRUST
