YEAR|MINTAGE|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-65
1921|1006473|55|65|80|140|250|1325|32000
1922|51737000|25|25|26|28|30|85|32000
1922D|15063000|25|25|26|28|35|225|-1
1922S|17475000|25|25|26|28|40|1275|-1
1923|30800000|25|25|26|28|30|90|-1
1923D|6811000|25|25|26|29|70|600|-1
1923S|19020000|25|25|26|29|42|3500|-1
1924|11911000|25|25|26|28|30|90|-1
1924S|1728000|25|25|32|110|250|5000|-1
1925|10198000|25|25|26|28|30|90|-1
1925S|1610000|25|25|27|35|100|12500|-1
1926|1939000|25|25|26|30|42|200|-1
1926D|2348700|25|25|26|32|90|350|-1
1926S|6980000|25|25|26|28|55|450|-1
1927|848000|25|25|26|38|90|1450|-1
1927D|1268900|25|25|48|85|210|2850|-1
1927S|866000|25|25|45|85|225|5850|-1
1928|360649|225|250|280|335|425|2400|-1
1928S|1632000|25|26|28|90|330|12500|-1
1934|954057|25|26|26|65|110|465|-1
1934D|1569500|25|26|27|75|190|950|-1
1934S|1011000|38|90|260|950|2100|4850|-1
1935|1576000|25|26|26|47|68|350|-1
1935S|1964000|25|28|55|135|240|725|-1
