YEAR|MINTAGE|MS-63|PF-63|PF-65|Paren

1979P,:Narrow:Rim|360222000|1|-1|-1|
1979P,:Wide:Rim|0|15|-1|-1|
1979D|288015744|1|-1|-1|

1979S|109576000|1.05|-1|-1|
1979S,:Proof:-:Type:1|-1|-1|2.5|4|3677175
1979S,:Proof:-:Type:2|-1|-1|20|40|
1980P|27610000|1.05|-1|-1|
1980D|41628708|1.05|-1|-1|
1980S|20422000|1.1|-1|-1|
1980S,:Proof|-1|-1|2.5|3|3554806
1981P|3000000|2|-1|-1|
1981D|3250000|2|-1|-1|
1981S|3492000|2|-1|-1|
1981S,:Proof:-:Type:1|-1|-1|2.5|4|4063083
1981S,:Proof:-:Type:2|-1|-1|90|130|
1999P|29592000|1.25|-1|-1|
1999P,:Proof|-1|-1|10|13.5|75000
1999D|11776000|1.25|-1|-1|
