YEAR|MINTAGE|VG-8|F-12|EF-40|AU-50|MS-60|MS-63|PF-63|Paren

1873|396635|50|70|90|150|425|1200|1700|865
1873CC|124500|100|175|325|800|3500|10000|-1|
1873S|703000|50|70|90|175|500|1100|-1|
1874|987100|50|70|90|150|275|875|1700|700
1874CC|1373200|100|150|250|300|700|2800|-1|
1874S|2549000|50|70|90|150|275|875|1700|700
1875|218200|80|180|295|500|1000|1700|1700|700
1875CC|1573700|80|180|285|450|900|1500|-1|
1875S|4487000|50|70|90|150|275|875|-1|
1875S,:S:Over:CC|-1|125|200|450|700|1500|6000|-1|
1876|455000|50|70|90|150|275|875|1700|1150
1876CC|509000|80|125|225|600|1750|11000|-1|

1876S|5227000|50|70|90|150|275|875|-1|
1877|3039200|50|70|90|150|275|875|1700|510
1877CC|534000|100|150|300|375|700|3500|-1|
1877S|9519000|50|70|90|150|275|875|-1|
1878|-1|-1|-1|500|-1|-1|-1|1700|900
1878CC|97000|250|375|1100|2000|6500|11000|-1|
1878S|4162000|50|70|90|150|275|875|-1|
1879|-1|-1|-1|500|-1|-1|-1|1700|1541
1880|-1|-1|-1|500|-1|-1|-1|1700|1987
1881|-1|-1|-1|500|-1|-1|-1|1700|960
1882|-1|-1|-1|500|-1|-1|-1|1700|1097
1883|-1|-1|-1|500|-1|-1|-1|1700|979
1884|-1|-1|-1|-1|-1|-1|-1|300000|10
1885|-1|-1|-1|-1|-1|-1|-1|950000|5
