YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren|ADDITIONAL_INFO

1859|36400000|7|8|10|27|55|100|135|265|850|800|Variety 1 - Copper-Nickel, Laurel Wreath Reverse

1860|20566000|6|7|8|12|32|65|90|125|550|1000|Variety 2 - Copper-Nickel, Oak Wreath with Shield
1861|10100000|11|13|18|32|65|85|125|150|650|1000|Variety 2 - Copper-Nickel, Oak Wreath with Shield
1862|28075000|5.5|6|7|9|22|40|65|100|475|550|Variety 2 - Copper-Nickel, Oak Wreath with Shield
1863|49840000|5.5|6|7|9|22|40|65|100|475|460|Variety 2 - Copper-Nickel, Oak Wreath with Shield
1864|13740000|8|10|14|25|38|65|100|140|500|370|Variety 2 - Copper-Nickel, Oak Wreath with Shield

1864,:All:Kinds|39233714|-1|-1|-1|-1|-1|-1|-1|-1|-1||Variety 3 - Bronze
1864,:No:L|-1|4|6|9|22|32|42|55|85|250|150|Variety 3 - Bronze
1864,:With:L|-1|27|45|70|100|170|190|225|375|-1|20|Variety 3 - Bronze
1865|35429286|4|5|9|12|20|35|50|85|200|500|Variety 3 - Bronze
1866|9826500|22|25|35|65|100|150|175|275|220|725|Variety 3 - Bronze
1867|9821000|22|25|35|65|100|150|175|275|220|625|Variety 3 - Bronze
1868|10266500|22|25|35|65|100|150|175|275|200|600|Variety 3 - Bronze
1869|6420000|35|40|90|150|225|275|300|450|210|600|Variety 3 - Bronze
1870|5275000|28|35|85|135|200|275|300|350|175|1000|Variety 3 - Bronze
1871|3929500|35|45|125|185|225|300|365|500|175|960|Variety 3 - Bronze
1872|4042000|40|60|160|225|300|400|450|650|220|950|Variety 3 - Bronze
1873|11676500|11|14|24|38|80|100|120|220|160|1100|Variety 3 - Bronze
1874|14187500|9|11|18|30|55|85|110|165|150|700|Variety 3 - Bronze
1875|13528000|10|14|20|35|50|75|110|165|150|700|Variety 3 - Bronze
1876|7944000|15|18|20|60|100|145|185|275|150|1150|Variety 3 - Bronze
1877|852500|500|725|875|1250|1600|1900|2200|2800|1500|900|Variety 3 - Bronze 

1878|5797500|14|18|25|65|100|145|165|210|150|2350|Variety 3 - Bronze
1879|16228000|4|6|8|18|40|45|50|80|125|3200|Variety 3 - Bronze
1880|38961000|1.75|2|3|6|15|25|40|70|100|3955|Variety 3 - Bronze
1881|39208000|1.75|2|3|5|10|16|26|37|100|3575|Variety 3 - Bronze
1882|38578000|1.75|2|3|5|10|16|26|37|100|3100|Variety 3 - Bronze
1883|45591500|1.75|2|3|5|10|16|26|37|100|6609|Variety 3 - Bronze
1884|23257800|2.25|2.5|3.5|6|14|20|30|60|100|3942|Variety 3 - Bronze
1885|11761594|3|4|6|14|35|45|60|95|100|3790|Variety 3 - Bronze
1886|17650000|1.75|3|8|24|65|85|100|125|100|4290|Variety 3 - Bronze
1887|45223523|1.25|1.5|1.75|2.25|8|14|25|35|100|2960|Variety 3 - Bronze
1888|37489832|.85|1.1|1.8|2.75|8|14|25|40|100|4582|Variety 3 - Bronze
1889|48866025|.85|1.1|1.8|2.75|6|12|22|35|100|3336|Variety 3 - Bronze
1890|57180114|.85|1.1|1.8|2.75|6|12|22|35|100|2740|Variety 3 - Bronze
1891|47070000|.85|1.1|1.8|2.75|6|12|22|35|100|2350|Variety 3 - Bronze
1892|37647087|.85|1.1|1.8|2.75|6|12|22|35|100|2745|Variety 3 - Bronze
1893|46640000|.85|1.1|1.8|2.75|6|12|22|35|100|2195|Variety 3 - Bronze
1894|16749500|2|3|4.75|8.5|25|30|40|50|100|2632|Variety 3 - Bronze
1895|38341574|.85|1.1|1.3|2|6|11|22|28|100|2062|Variety 3 - Bronze
1896|39055431|.85|1.1|1.3|2|6|11|22|28|100|1862|Variety 3 - Bronze
1897|50464392|.85|1.1|1.3|2|6|11|22|28|100|1938|Variety 3 - Bronze
1898|49821284|.85|1.1|1.3|2|6|11|22|28|100|1795|Variety 3 - Bronze
1899|53598000|.85|1.1|1.3|2|6|11|22|28|100|2031|Variety 3 - Bronze
1900|66831502|.8|1|1.1|1.5|5|10|18|25|90|2262|Variety 3 - Bronze
1901|79609158|.8|1|1.1|1.5|5|10|18|25|90|1985|Variety 3 - Bronze
1902|87374704|.8|1|1.1|1.5|5|10|18|25|90|2018|Variety 3 - Bronze
1903|85092703|.8|1|1.1|1.5|5|10|18|25|90|1790|Variety 3 - Bronze
1904|61326198|.8|1|1.1|1.5|5|10|18|25|90|1817|Variety 3 - Bronze
1905|80717011|.8|1|1.1|1.5|5|10|18|25|90|2152|Variety 3 - Bronze
1906|96020530|.8|1|1.1|1.5|5|10|18|25|90|1725|Variety 3 - Bronze
1907|108137143|.8|1|1.1|1.5|5|10|18|25|90|1475|Variety 3 - Bronze

1908|32326367|.8|1.1|1.25|1.5|5|10|18|25|90|1620|Variety 3 - Bronze
1908S|1115000|40|50|55|65|95|120|175|210|-1||Variety 3 - Bronze
1909|14368470|5|6|8|10|12|16|25|32|90|2175|Variety 3 - Bronze
1909S|309000|275|300|325|350|425|475|550|675|-1||Variety 3 - Bronze
