YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|MS-65|PF-63|PF-65|Paren|ADDITIONAL_INFO

1909,:V.D.B.|27995000|6|6.5|7|8|9|10|12|15|-1|1300|-1|1194|
1909S,:V.D.B.|484000|450|500|550|725|825|975|1150|1400|-1|-1|-1||
1909|72702618|1|1.25|1.6|2|2.5|6|8.5|15|-1|225|-1|2618|
1909S|1825000|50|60|70|95|150|165|200|235|-1|-1|-1||
1910|146801218|.07|.1|.15|.3|1|2.5|9|13|-1|150|-1|4118|
1910S|6045000|7.5|9|11|12|25|40|55|70|-1|-1|-1||
1911|101177787|.1|.15|.3|.5|1.5|3.5|11|25|-1|175|-1|1725|
1911D|12672000|2.25|3|4.5|9|21|35|50|70|-1|-1|-1||
1911S|4026000|18|25|30|35|45|60|110|150|-1|-1|-1||
1912|68153060|.15|.25|.7|2|2.5|8|17|25|-1|150|-1|2172|
1912D|10411000|2.75|3.5|4.25|10|25|40|75|120|-1|-1|-1||
1912S|4431000|11|13|15|18|35|47|90|125|-1|-1|-1||
1913|76532352|.15|.2|.5|1.5|8|12|16|25|-1|160|-1|2983|
1913D|15804000|.75|1|1.5|3.5|20|26|50|100|-1|-1|-1||
1913S|6101000|5.5|6.75|9|12|27|50|85|135|-1|-1|-1||
1914|75238432|.2|.3|.75|2|6.5|17|25|37|-1|180|-1|1365|
1914D|1193000|100|125|200|250|450|800|1100|2000|-1|-1|-1||
1914S|4137000|11|14|16|19|40|90|175|260|-1|-1|-1||
1915|29092120|.4|1|2|8|26|35|46|65|-1|275|-1|1150|
1915D|22050000|.5|1|1.5|2.25|9|22|45|60|-1|-1|-1||
1915S|4833000|8|9|11|14|30|60|100|150|-1|-1|-1||
1916|131833677|.05|.08|.15|.5|2|5|10|15|-1|450|-1|1050
1916D|35956000|.1|.2|.5|1.5|5.5|12|35|65|-1|-1|-1||
1916S|22510000|.5|.75|1.5|3|10|20|45|90|-1|-1|-1||
1917|196429785|.05|.07|.1|.25|.6|3|10|15|-1|-1|-1||
1917D|55120000|.1|.2|.4|1.5|14|19|39|70|-1|-1|-1||
1917S|32620000|.08|.1|.25|.5|2.75|12|35|65|-1|-1|-1||

1918|288104634|.04|.05|.1|.2|1|3|6|15|-1|-1|-1||
#TODO
1933D|6200000|1|1.25|1.5|2.5|4.25|7|13|16|-1|-1|-1||

1934|219080000|.03|.03|.03|.03|.1|1|3|4.5|-1|-1|-1||
#TODO
1942S|85590000|.02|.03|.03|.03|.1|1|2.25|6|-1|-1|-1||

1943|684628670|-1|-1|.05|.1|.15|-1|.7|1.25|3|-1|-1||Variety 2 - Zinc-Coated Steel
1943D|217660000|-1|-1|.05|.1|.15|-1|.9|2|4.5|-1|-1||Variety 2 - Zinc-Coated Steel
1943S|191550000|-1|-1|.06|.12|.2|-1|1.2|2.75|8.5|-1|-1||Variety 2 - Zinc-Coated Steel

1944|1435400000|-1|-1|-1|.03|.03|-1|-1|.25|1.6|-1|-1||Variety 1 Resumed - Bronze
1944D|430578000|-1|-1|-1|.03|.03|-1|-1|.2|1.5|-1|-1||Variety 1 Resumed - Bronze
1944D,:D:Over:S|-1|-1|-1|-1|75|90|-1|-1|225|600|-1|-1||Variety 1 Resumed - Bronze
1944S|282760000|-1|-1|-1|.03|.03|-1|-1|.2|1.5|-1|-1||Variety 1 Resumed - Bronze

1945|1040515000|-1|-1|-1|.03|.03|-1|-1|.2|.5|-1|-1||Variety 1 Resumed - Bronze
1945D|266268000|-1|-1|-1|.03|.03|-1|-1|.15|.5|-1|-1||Variety 1 Resumed - Bronze
1945S|181770000|-1|-1|-1|.03|.03|-1|-1|.1|2|-1|-1||Variety 1 Resumed - Bronze
1946|991655000|-1|-1|-1|.03|.03|-1|-1|.1|.5|-1|-1||Variety 1 Resumed - Bronze
1946D|315690000|-1|-1|-1|.03|.03|-1|-1|.15|1|-1|-1||Variety 1 Resumed - Bronze
1946S|198100000|-1|-1|-1|.03|.03|-1|-1|.15|1.25|-1|-1||Variety 1 Resumed - Bronze
1947|190555000|-1|-1|-1|.03|.03|-1|-1|.25|.5|-1|-1||Variety 1 Resumed - Bronze
1947D|194750000|-1|-1|-1|.03|.03|-1|-1|.12|.5|-1|-1||Variety 1 Resumed - Bronze
1947S|99000000|-1|-1|-1|.03|.03|-1|-1|.15|1.5|-1|-1||Variety 1 Resumed - Bronze
1948|317570000|-1|-1|-1|.03|.03|-1|-1|.15|.5|-1|-1||Variety 1 Resumed - Bronze
1948D|172637500|-1|-1|-1|.03|.03|-1|-1|.12|.6|-1|-1||Variety 1 Resumed - Bronze
1948S|81735000|-1|-1|-1|.03|.03|-1|-1|.2|1.5|-1|-1||Variety 1 Resumed - Bronze
1949|217775000|-1|-1|-1|.03|.03|-1|-1|.3|.75|-1|-1||Variety 1 Resumed - Bronze
1949D|153132500|-1|-1|-1|.03|.03|-1|-1|.2|.75|-1|-1||Variety 1 Resumed - Bronze
1949S|64290000|-1|-1|-1|.04|.05|-1|-1|.5|2|-1|-1||Variety 1 Resumed - Bronze
1950|272635000|-1|-1|-1|.03|.03|-1|-1|.25|.5|-1|37|51386|Variety 1 Resumed - Bronze
1950D|334950000|-1|-1|-1|.03|.03|-1|-1|.1|.5|-1|-1||Variety 1 Resumed - Bronze
1950S|118505000|-1|-1|-1|.03|.03|-1|-1|.25|.8|-1|-1||Variety 1 Resumed - Bronze
1951|284576000|-1|-1|-1|.03|.03|-1|-1|.25|.8|-1|35|57500|Variety 1 Resumed - Bronze
1951D|625355000|-1|-1|-1|.03|.03|-1|-1|.1|.5|-1|-1||Variety 1 Resumed - Bronze
1951S|136010000|-1|-1|-1|.03|.03|-1|-1|.25|.6|-1|-1||Variety 1 Resumed - Bronze

#TODO

1956|420745000|-1|-1|-1|.03|.03|-1|-1|.05|.25|-1|6|669384|Variety 1 Resumed - Bronze
1956D|1098201100|-1|-1|-1|.03|.03|-1|-1|.05|.3|-1|-1||Variety 1 Resumed - Bronze
1957|282540000|-1|-1|-1|.03|.03|-1|-1|.05|.3|-1|6|1247952|Variety 1 Resumed - Bronze
1957D|1051342000|-1|-1|-1|.03|.03|-1|-1|.05|.3|-1|-1||Variety 1 Resumed - Bronze
1958|252525000|-1|-1|-1|.03|.03|-1|-1|.05|.3|-1|5|875652|Variety 1 Resumed - Bronze
1958D|800953300|-1|-1|-1|.03|.03|-1|-1|.05|.3|-1|-1||Variety 1 Resumed - Bronze
