YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren

1865|11382000|7|9|10|12|15|25|50|90|650|500
1866|4801000|7|9|10|12|15|25|50|90|160|725
1867|3915000|7|9|10|12|15|25|50|90|160|625
1868|3252000|7|9|10|12|15|25|50|90|160|600
1869|1604000|7|9|10|12|15|25|50|90|160|600
1870|1335000|7|9|10|12|15|25|50|90|160|1000
1871|604000|7|9|10|12|15|25|50|100|160|960
1872|862000|7|9|10|12|15|25|50|100|160|950
1873|390000|7|9|10|12|15|25|50|90|160|1100
1874|790000|8|10|11|13|17|27|60|110|160|700
1875|228000|9|11|12|14|20|32|80|110|160|700
1876|162000|9|11|12|15|22|38|110|125|175|1150
1877|-1|-1|-1|-1|550|600|-1|-1|-1|900|900
1878|-1|-1|-1|-1|250|375|-1|-1|-1|475|2350
1879|38000|20|25|30|40|60|75|130|200|200|3200
1880|21000|40|45|50|60|70|85|150|180|200|3955
1881|1077000|7|9|10|12|15|25|50|90|160|3575
1882|22200|35|45|50|60|80|100|150|200|225|3100
1883|4000|75|85|100|135|160|180|200|375|235|6609
1884|1700|155|175|190|250|275|300|400|550|275|3942
1885|1000|175|200|225|275|325|235|450|550|275|3790
1886|-1|-1|-1|-1|175|200|-1|-1|-1|250|4290
1887|5001|120|140|150|160|175|225|250|275|250|2960
1887,:7/6|-1|-1|-1|-1|180|225|-1|-1|-1|275|-1
1888|36501|20|23|27|35|45|60|140|175|185|4582
1889|18125|35|45|60|75|100|125|160|210|200|3436
