YEAR|MINTAGE|VF-20|EF-40|AU-50|AU-55|MS-60|MS-63|PF-63|Paren

1854|138618|700|900|1150|1250|2000|5000|55000|
1854D|1120|7500|15000|25000|35000|60000|-1|-1|
1854O|24000|875|1750|3000|3500|15000|25000|-1|
1855|50555|650|900|1200|1500|2000|6000|30000|
1855S|6600|950|1850|5000|7500|17500|65000|-1|
1856|26010|700|1000|1250|1800|2100|6000|20000|
1856S|34500|750|1150|2250|4500|8500|17500|-1|
1857|20891|700|975|1250|2000|2100|7000|18500|
1857S|14000|775|1750|4500|6000|15000|-1|-1|
1858|2133|825|1300|2000|3500|6000|13500|18500|
1859|15558|700|900|1250|1500|2000|6000|18000|80
1860|7036|725|950|1250|1650|2100|6000|9000|1119
1860S|7000|775|1500|5000|7500|14000|40000|-1|
1861|5959|700|900|1500|1750|3000|7000|20000|113
1862|5750|700|900|1500|1750|3000|7000|10000|35
1863|5000|750|950|1500|1750|3000|7000|10000|39
1864|2630|750|1000|1500|1750|3000|7000|10000|50
1865|1140|1000|2000|4000|5000|7000|13000|15000|25
1866|4000|750|950|1350|1750|3000|7500|10000|30
1867|2600|750|950|1350|1750|3000|7500|10000|50
1868|4850|700|900|1350|1750|2750|7500|10000|25
1869|2500|700|900|1350|1750|3000|8000|10000|25
1870|3500|700|900|1500|1850|3000|8000|10000|35
1870S|1|-1|-1|-1|-1|-1|-1|-1|
1871|1300|725|1000|1350|1750|3200|7000|10000|30
1872|2000|725|1000|1350|1750|3200|7000|10000|30
1873,:Open:3|-1|3500|5500|15000|20000|-1|-1|-1|25
1873,:Close:3|-1|2750|4500|7500|12500|24000|35000|20000|
1874|41800|650|850|1200|1250|2000|4500|22000|20
1875|-1|-1|-1|37500|55000|-1|-1|85000|20
1876|-1|-1|-1|12500|17500|-1|-1|27500|45
1877|1468|1250|3000|6000|8000|15000|30000|15000|20
1878|82304|700|900|1100|1250|2000|4000|15000|20
1879|3000|750|925|1250|1850|2100|5250|12000|30
1880|1000|750|1350|1750|1900|2500|5250|12000|36
1881|500|1250|2250|3750|4750|5750|11000|12000|54
1882|1500|750|950|1350|1750|2500|5250|9000|76
1883|900|750|1250|1750|2250|2750|5500|9000|89
1884|1000|750|1350|1750|2250|2750|5500|9000|106
1885|801|775|1350|1850|2250|3500|9000|10000|109
1886|1000|750|1250|1850|2250|3250|6000|9000|142
1887|6000|725|950|1350|1750|2500|5000|9000|160
1888|5000|700|900|1150|1300|2200|4500|9000|291
1889|2300|700|900|1150|1300|2000|4500|9000|129
