YEAR|MINTAGE|G-4|VG-8|F-12|VF-20|EF-40|AU-50|MS-60|MS-63|PF-63|Paren

1864,:Small:Motto|-1|85|100|140|225|325|400|575|800|10000|-1
1864,:Large:Motto|19822500|8|9|12|16|23|32|55|90|300|100
1865|13640000|8|9|12|16|23|32|55|90|250|500
1866|3177000|8|9|12|16|23|32|55|90|250|725
1867|2938750|8|9|12|16|23|32|55|90|250|625
1868|2803750|8|9|14|18|25|37|65|110|250|600
1869|1546500|9|10|14|19|32|60|100|110|250|600
1870|861250|11|13|19|25|45|80|125|150|250|1000
1871|721250|13|15|22|30|65|90|165|190|300|960
1872|65000|150|200|225|275|400|500|650|950|600|950
1873|-1|-1|-1|-1|-1|-1|700|-1|-1|1000|1000



